index,李玉刚
2023-01-24,14347
2023-01-25,3655
2023-01-26,4368
2023-01-27,4246
2023-01-28,3029
2023-01-29,4310
2023-01-30,5213
2023-01-31,4021
2023-02-01,4908
2023-02-02,67360
2023-02-03,37323
2023-02-04,42411
2023-02-05,32911
2023-02-06,2145
2023-02-07,2267
2023-02-08,2467
2023-02-09,2202
2023-02-10,3026
2023-02-11,2765
2023-02-12,1967
2023-02-13,3899
2023-02-14,4632
2023-02-15,3361
2023-02-16,2328
2023-02-17,4100
2023-02-18,4098
2023-02-19,15572
2023-02-20,4163
2023-02-21,26780
2023-02-22,2539
2023-02-23,3762
2023-02-24,2124
2023-02-25,2769
2023-02-26,3717
2023-02-27,4816
2023-02-28,2737
2023-03-01,2514
2023-03-02,17045
2023-03-03,2840
2023-03-04,5691
2023-03-05,3443
2023-03-06,11612
2023-03-07,2124
2023-03-08,2802
2023-03-09,1439
2023-03-10,1878
2023-03-11,2495
2023-03-12,2381
2023-03-13,1879
2023-03-14,8168
2023-03-15,16119
2023-03-16,24857
2023-03-17,4044
2023-03-18,9350
2023-03-19,2745
2023-03-20,2293
2023-03-21,2574
2023-03-22,2511
2023-03-23,3480
2023-03-24,3220
2023-03-25,7542
2023-03-26,4057
2023-03-27,3448
2023-03-28,3469
2023-03-29,3285
2023-03-30,66148
2023-03-31,79082
2023-04-01,3504
2023-04-02,3692
2023-04-03,2451
2023-04-04,4355
2023-04-05,2143
2023-04-06,1643
2023-04-07,1734
2023-04-08,2788
2023-04-09,35186
2023-04-10,2138
2023-04-11,2224
2023-04-12,2408
2023-04-13,1884
2023-04-14,2422
2023-04-15,3165
2023-04-16,2777
2023-04-17,3450
2023-04-18,2240
2023-04-19,2894
2023-04-20,1165
2023-04-21,1977
2023-04-22,2324
2023-04-23,2715
2023-04-24,5924
