index,汪苏泷
2023-01-24,107536
2023-01-25,422219
2023-01-26,57346
2023-01-27,47477
2023-01-28,59506
2023-01-29,72857
2023-01-30,61218
2023-01-31,128065
2023-02-01,98029
2023-02-02,126110
2023-02-03,218232
2023-02-04,106576
2023-02-05,398840
2023-02-06,102208
2023-02-07,68744
2023-02-08,48666
2023-02-09,197765
2023-02-10,59256
2023-02-11,38149
2023-02-12,46106
2023-02-13,32106
2023-02-14,93039
2023-02-15,46176
2023-02-16,67923
2023-02-17,1382200
2023-02-18,81945
2023-02-19,41509
2023-02-20,36156
2023-02-21,64377
2023-02-22,36845
2023-02-23,37106
2023-02-24,47144
2023-02-25,47751
2023-02-26,47577
2023-02-27,136458
2023-02-28,144489
2023-03-01,56411
2023-03-02,45434
2023-03-03,68595
2023-03-04,30400
2023-03-05,52694
2023-03-06,19613
2023-03-07,35206
2023-03-08,18282
2023-03-09,104903
2023-03-10,364610
2023-03-11,38462
2023-03-12,78305
2023-03-13,48210
2023-03-14,101471
2023-03-15,74980
2023-03-16,27818
2023-03-17,30987
2023-03-18,89447
2023-03-19,40812
2023-03-20,194028
2023-03-21,189458
2023-03-22,482900
2023-03-23,80430
2023-03-24,85804
2023-03-25,88948
2023-03-26,153571
2023-03-27,620126
2023-03-28,74225
2023-03-29,46138
2023-03-30,42136
2023-03-31,146203
2023-04-01,261302
2023-04-02,75283
2023-04-03,42623
2023-04-04,67625
2023-04-05,46973
2023-04-06,29555
2023-04-07,26218
2023-04-08,71914
2023-04-09,155163
2023-04-10,72795
2023-04-11,39321
2023-04-12,40247
2023-04-13,30287
2023-04-14,256230
2023-04-15,193557
2023-04-16,107698
2023-04-17,119669
2023-04-18,170315
2023-04-19,76417
2023-04-20,60576
2023-04-21,337819
2023-04-22,82591
2023-04-23,43810
2023-04-24,390455
