index,王嘉尔
2023-01-24,195034
2023-01-25,482500
2023-01-26,306174
2023-01-27,287276
2023-01-28,162859
2023-01-29,345534
2023-01-30,126927
2023-01-31,178550
2023-02-01,152942
2023-02-02,158013
2023-02-03,72151
2023-02-04,70692
2023-02-05,69698
2023-02-06,170421
2023-02-07,206935
2023-02-08,125520
2023-02-09,188587
2023-02-10,406012
2023-02-11,290460
2023-02-12,331060
2023-02-13,216860
2023-02-14,170958
2023-02-15,82080
2023-02-16,120097
2023-02-17,230048
2023-02-18,114999
2023-02-19,58940
2023-02-20,222358
2023-02-21,81583
2023-02-22,258716
2023-02-23,59740
2023-02-24,60604
2023-02-25,64892
2023-02-26,120027
2023-02-27,415624
2023-02-28,315074
2023-03-01,189249
2023-03-02,144703
2023-03-03,251031
2023-03-04,170781
2023-03-05,118760
2023-03-06,66744
2023-03-07,117528
2023-03-08,138485
2023-03-09,135411
2023-03-10,118360
2023-03-11,145273
2023-03-12,81376
2023-03-13,68576
2023-03-14,60946
2023-03-15,99127
2023-03-16,323453
2023-03-17,400357
2023-03-18,643666
2023-03-19,272169
2023-03-20,97017
2023-03-21,276481
2023-03-22,154000
2023-03-23,82670
2023-03-24,111370
2023-03-25,67408
2023-03-26,93003
2023-03-27,233593
2023-03-28,634184
2023-03-29,317016
2023-03-30,161739
2023-03-31,61374
2023-04-01,196293
2023-04-02,44737
2023-04-03,28539
2023-04-04,32505
2023-04-05,37693
2023-04-06,64941
2023-04-07,135581
2023-04-08,159941
2023-04-09,162809
2023-04-10,81369
2023-04-11,111196
2023-04-12,127440
2023-04-13,89654
2023-04-14,114007
2023-04-15,154024
2023-04-16,294084
2023-04-17,1411440
2023-04-18,292953
2023-04-19,283443
2023-04-20,742690
2023-04-21,248813
2023-04-22,217766
2023-04-23,89686
2023-04-24,874922
