index,薛之谦
2023-01-24,92973
2023-01-25,118903
2023-01-26,223745
2023-01-27,78148
2023-01-28,67218
2023-01-29,85676
2023-01-30,110015
2023-01-31,282012
2023-02-01,212234
2023-02-02,284891
2023-02-03,569431
2023-02-04,431858
2023-02-05,95186
2023-02-06,213224
2023-02-07,155044
2023-02-08,69519
2023-02-09,122913
2023-02-10,53712
2023-02-11,57262
2023-02-12,75737
2023-02-13,55365
2023-02-14,322968
2023-02-15,177641
2023-02-16,109793
2023-02-17,382428
2023-02-18,77733
2023-02-19,195450
2023-02-20,147973
2023-02-21,82688
2023-02-22,123182
2023-02-23,58641
2023-02-24,475657
2023-02-25,250363
2023-02-26,269036
2023-02-27,347880
2023-02-28,366213
2023-03-01,265239
2023-03-02,482054
2023-03-03,522506
2023-03-04,389455
2023-03-05,295034
2023-03-06,553945
2023-03-07,372479
2023-03-08,526371
2023-03-09,252575
2023-03-10,361974
2023-03-11,182789
2023-03-12,135533
2023-03-13,225727
2023-03-14,232822
2023-03-15,148022
2023-03-16,149201
2023-03-17,162883
2023-03-18,770990
2023-03-19,967398
2023-03-20,415220
2023-03-21,220084
2023-03-22,358250
2023-03-23,290734
2023-03-24,317566
2023-03-25,334064
2023-03-26,360743
2023-03-27,203645
2023-03-28,351202
2023-03-29,448987
2023-03-30,307266
2023-03-31,497563
2023-04-01,495362
2023-04-02,916700
2023-04-03,248712
2023-04-04,439528
2023-04-05,223888
2023-04-06,717413
2023-04-07,575138
2023-04-08,390403
2023-04-09,209400
2023-04-10,447447
2023-04-11,398131
2023-04-12,251288
2023-04-13,223275
2023-04-14,406433
2023-04-15,977433
2023-04-16,339096
2023-04-17,305512
2023-04-18,431436
2023-04-19,336197
2023-04-20,526568
2023-04-21,600028
2023-04-22,739150
2023-04-23,972328
2023-04-24,384799
