index,许嵩
2023-01-24,74097
2023-01-25,33694
2023-01-26,33603
2023-01-27,154220
2023-01-28,27058
2023-01-29,36328
2023-01-30,22167
2023-01-31,52526
2023-02-01,18538
2023-02-02,21632
2023-02-03,17234
2023-02-04,11413
2023-02-05,12797
2023-02-06,10168
2023-02-07,15200
2023-02-08,16022
2023-02-09,15330
2023-02-10,25635
2023-02-11,18755
2023-02-12,11043
2023-02-13,9216
2023-02-14,39652
2023-02-15,15844
2023-02-16,39317
2023-02-17,232522
2023-02-18,14929
2023-02-19,17887
2023-02-20,8459
2023-02-21,6635
2023-02-22,17789
2023-02-23,11008
2023-02-24,8796
2023-02-25,10506
2023-02-26,19418
2023-02-27,9632
2023-02-28,22268
2023-03-01,22366
2023-03-02,151277
2023-03-03,13389
2023-03-04,7043
2023-03-05,7898
2023-03-06,6436
2023-03-07,19368
2023-03-08,8163
2023-03-09,7102
2023-03-10,7818
2023-03-11,10054
2023-03-12,13697
2023-03-13,7017
2023-03-14,9565
2023-03-15,13989
2023-03-16,14303
2023-03-17,12532
2023-03-18,7557
2023-03-19,10697
2023-03-20,8919
2023-03-21,6665
2023-03-22,7449
2023-03-23,109710
2023-03-24,22193
2023-03-25,13065
2023-03-26,6129
2023-03-27,5875
2023-03-28,21707
2023-03-29,10355
2023-03-30,13682
2023-03-31,10969
2023-04-01,15776
2023-04-02,5723
2023-04-03,7134
2023-04-04,24840
2023-04-05,35875
2023-04-06,21263
2023-04-07,10671
2023-04-08,24494
2023-04-09,60107
2023-04-10,132003
2023-04-11,16126
2023-04-12,19609
2023-04-13,24080
2023-04-14,11376
2023-04-15,24031
2023-04-16,78832
2023-04-17,32104
2023-04-18,24297
2023-04-19,12894
2023-04-20,78884
2023-04-21,8030
2023-04-22,26844
2023-04-23,13850
2023-04-24,183703
