index,陶喆
2023-01-24,2100
2023-01-25,3652
2023-01-26,160962
2023-01-27,5120
2023-01-28,3168
2023-01-29,3540
2023-01-30,5065
2023-01-31,21036
2023-02-01,12926
2023-02-02,6829
2023-02-03,69362
2023-02-04,5006
2023-02-05,4489
2023-02-06,11579
2023-02-07,3954
2023-02-08,15325
2023-02-09,3085
2023-02-10,59738
2023-02-11,5143
2023-02-12,6864
2023-02-13,9331
2023-02-14,63051
2023-02-15,9974
2023-02-16,2715
2023-02-17,2108
2023-02-18,7097
2023-02-19,206106
2023-02-20,253796
2023-02-21,127331
2023-02-22,123119
2023-02-23,104609
2023-02-24,4230
2023-02-25,9702
2023-02-26,7423
2023-02-27,9784
2023-02-28,3954
2023-03-01,6840
2023-03-02,4747
2023-03-03,5209
2023-03-04,8261
2023-03-05,3066
2023-03-06,3230
2023-03-07,3053
2023-03-08,4093
2023-03-09,2174
2023-03-10,9431
2023-03-11,2471
2023-03-12,2489
2023-03-13,3045
2023-03-14,19547
2023-03-15,6093
2023-03-16,15757
2023-03-17,36114
2023-03-18,3903
2023-03-19,9745
2023-03-20,5492
2023-03-21,2857
2023-03-22,2830
2023-03-23,3023
2023-03-24,3779
2023-03-25,3006
2023-03-26,2772
2023-03-27,3219
2023-03-28,3150
2023-03-29,2652
2023-03-30,9350
2023-03-31,14201
2023-04-01,4272
2023-04-02,6580
2023-04-03,6240
2023-04-04,2884
2023-04-05,3294
2023-04-06,3894
2023-04-07,2811
2023-04-08,3241
2023-04-09,7599
2023-04-10,10232
2023-04-11,3084
2023-04-12,2807
2023-04-13,3893
2023-04-14,19785
2023-04-15,23297
2023-04-16,50281
2023-04-17,13895
2023-04-18,27437
2023-04-19,24335
2023-04-20,5745
2023-04-21,21702
2023-04-22,3924
2023-04-23,31735
2023-04-24,23627
