star,女,男
capper,62.76,37.24
gai,44.98,55.02
阿信,67.13,32.87
蔡徐坤,54.63,45.37
陈奕迅,44.79,55.21
郭顶,51.91,48.09
郭富城,46.74,53.26
胡彦斌,48.71,51.29
华晨宇,57.65,42.35
姜云升,53.67,46.33
李健,55.29,44.71
李荣浩,56.59,43.41
李玉刚,43.22,56.78
林俊杰,53.17,46.83
林宥嘉,51.45,48.55
刘德华,34.95,65.05
罗志祥,51.9,48.1
马思唯,54.44,45.56
毛不易,58.78,41.22
潘玮柏,54.38,45.62
朴树,45.19,54.81
任贤齐,43.21,56.79
陶喆,40.63,59.37
汪峰,41.73,58.27
汪苏泷,65.75,34.25
王嘉尔,62.47,37.53
王力宏,40.16,59.84
王以太,55.49,44.51
魏晨,70.21,29.79
吴克群,58.3,41.7
萧敬腾,50.1,49.9
小鬼,62.03,37.97
徐良,40.98,59.02
许嵩,55.56,44.44
薛之谦,52.72,47.28
杨和苏,55.73,44.27
张国荣,42.45,57.55
张杰,62.81,37.19
张信哲,54.53,45.47
张学友,34.96,65.04
赵雷,43.59,56.41
周杰伦,46.34,53.66
周深,62.45,37.55
