Time,all,pc,wise
2022-10-01,1802,215,1587
2022-10-02,2135,323,1812
2022-10-03,1984,332,1652
2022-10-04,1852,282,1570
2022-10-05,1803,260,1543
2022-10-06,2036,270,1766
2022-10-07,2267,335,1932
2022-10-08,1721,338,1383
2022-10-09,2017,395,1622
2022-10-10,1876,377,1499
2022-10-11,2336,499,1837
2022-10-12,2120,426,1694
2022-10-13,1964,355,1609
2022-10-14,2089,361,1728
2022-10-15,2421,335,2086
2022-10-16,2856,369,2487
2022-10-17,2228,439,1789
2022-10-18,2465,473,1992
2022-10-19,2689,495,2194
2022-10-20,6846,806,6040
2022-10-21,13760,1876,11884
2022-10-22,20565,1271,19294
2022-10-23,18201,999,17202
2022-10-24,7822,941,6881
2022-10-25,9938,876,9062
2022-10-26,6344,785,5559
2022-10-27,4344,554,3790
2022-10-28,3631,454,3177
2022-10-29,3457,304,3153
2022-10-30,3023,148,2875
2022-10-31,1964,315,1649
2022-11-01,1861,350,1511
2022-11-02,1427,318,1109
2022-11-03,1548,341,1207
2022-11-04,1407,309,1098
2022-11-05,1437,207,1230
2022-11-06,1631,205,1426
2022-11-07,1264,284,980
2022-11-08,1302,299,1003
2022-11-09,1958,426,1532
2022-11-10,1974,453,1521
2022-11-11,1535,369,1166
2022-11-12,1560,236,1324
2022-11-13,1857,260,1597
2022-11-14,1622,400,1222
2022-11-15,1475,302,1173
2022-11-16,1911,391,1520
2022-11-17,2328,426,1902
2022-11-18,1991,338,1653
2022-11-19,1953,276,1677
2022-11-20,2094,284,1810
2022-11-21,1707,323,1384
2022-11-22,1628,304,1324
2022-11-23,1635,274,1361
2022-11-24,1693,315,1378
2022-11-25,1549,284,1265
2022-11-26,1672,267,1405
2022-11-27,1722,220,1502
2022-11-28,1314,256,1058
2022-11-29,1224,240,984
2022-11-30,1273,305,968
2022-12-01,1233,264,969
2022-12-02,1409,233,1176
2022-12-03,1381,187,1194
2022-12-04,1491,212,1279
2022-12-05,1281,287,994
2022-12-06,1727,226,1501
2022-12-07,1204,229,975
2022-12-08,1205,248,957
2022-12-09,1166,223,943
2022-12-10,1155,165,990
2022-12-11,1192,177,1015
2022-12-12,1170,248,922
2022-12-13,1157,245,912
2022-12-14,1110,209,901
2022-12-15,1099,193,906
2022-12-16,1106,204,902
2022-12-17,1116,170,946
2022-12-18,1161,177,984
2022-12-19,1132,187,945
2022-12-20,1133,190,943
2022-12-21,1124,198,926
2022-12-22,1134,202,932
2022-12-23,1136,209,927
2022-12-24,1099,176,923
2022-12-25,1137,207,930
2022-12-26,1168,211,957
2022-12-27,1335,239,1096
2022-12-28,1702,313,1389
2022-12-29,1191,253,938
2022-12-30,1140,216,924
2022-12-31,1056,159,897
2023-01-01,1057,154,903
2023-01-02,1119,205,914
2023-01-03,1209,267,942
2023-01-04,1166,233,933
2023-01-05,1176,204,972
2023-01-06,1144,222,922
2023-01-07,1091,163,928
2023-01-08,1107,183,924
2023-01-09,1231,282,949
2023-01-10,1170,240,930
2023-01-11,1201,247,954
2023-01-12,1211,250,961
2023-01-13,1920,785,1135
2023-01-14,1310,222,1088
2023-01-15,1211,223,988
2023-01-16,1172,236,936
2023-01-17,1113,208,905
2023-01-18,1119,218,901
2023-01-19,1108,228,880
2023-01-20,1065,187,878
2023-01-21,1060,155,905
2023-01-22,1342,120,1222
2023-01-23,1121,168,953
2023-01-24,1128,155,973
2023-01-25,1045,150,895
2023-01-26,1008,116,892
2023-01-27,1018,127,891
2023-01-28,1116,209,907
2023-01-29,1069,191,878
