Time,all,pc,wise
2022-10-01,7654,336,7318
2022-10-02,6090,302,5788
2022-10-03,3323,254,3069
2022-10-04,2247,195,2052
2022-10-05,1192,159,1033
2022-10-06,1190,190,1000
2022-10-07,1160,184,976
2022-10-08,1043,170,873
2022-10-09,1086,188,898
2022-10-10,1106,198,908
2022-10-11,1066,200,866
2022-10-12,2511,305,2206
2022-10-13,1703,439,1264
2022-10-14,1184,253,931
2022-10-15,1143,197,946
2022-10-16,1567,233,1334
2022-10-17,1189,262,927
2022-10-18,1145,220,925
2022-10-19,1253,271,982
2022-10-20,1140,250,890
2022-10-21,1099,239,860
2022-10-22,1115,194,921
2022-10-23,1183,191,992
2022-10-24,1120,248,872
2022-10-25,1088,226,862
2022-10-26,1100,239,861
2022-10-27,1161,265,896
2022-10-28,1111,219,892
2022-10-29,1124,176,948
2022-10-30,1159,101,1058
2022-10-31,919,170,749
2022-11-01,972,188,784
2022-11-02,1058,229,829
2022-11-03,975,202,773
2022-11-04,1089,194,895
2022-11-05,1039,163,876
2022-11-06,1062,158,904
2022-11-07,1815,857,958
2022-11-08,1203,236,967
2022-11-09,1107,254,853
2022-11-10,1015,222,793
2022-11-11,989,205,784
2022-11-12,1045,166,879
2022-11-13,1089,175,914
2022-11-14,958,207,751
2022-11-15,955,201,754
2022-11-16,875,195,680
2022-11-17,958,213,745
2022-11-18,789,193,596
2022-11-19,864,144,720
2022-11-20,1029,163,866
2022-11-21,857,170,687
2022-11-22,768,173,595
2022-11-23,835,169,666
2022-11-24,908,200,708
2022-11-25,730,144,586
2022-11-26,786,142,644
2022-11-27,892,152,740
2022-11-28,812,169,643
2022-11-29,851,154,697
2022-11-30,865,159,706
2022-12-01,782,154,628
2022-12-02,851,148,703
2022-12-03,997,150,847
2022-12-04,1017,162,855
2022-12-05,884,168,716
2022-12-06,935,170,765
2022-12-07,831,190,641
2022-12-08,861,187,674
2022-12-09,904,166,738
2022-12-10,824,116,708
2022-12-11,911,148,763
2022-12-12,803,179,624
2022-12-13,811,165,646
2022-12-14,885,162,723
2022-12-15,810,190,620
2022-12-16,655,110,545
2022-12-17,753,125,628
2022-12-18,823,114,709
2022-12-19,841,161,680
2022-12-20,761,152,609
2022-12-21,717,163,554
2022-12-22,823,133,690
2022-12-23,783,121,662
2022-12-24,761,106,655
2022-12-25,1001,142,859
2022-12-26,1028,186,842
2022-12-27,1024,180,844
2022-12-28,989,173,816
2022-12-29,1051,190,861
2022-12-30,1101,211,890
2022-12-31,6074,453,5621
2023-01-01,2218,270,1948
