Time,all,pc,wise
2022-10-01,1007,123,884
2022-10-02,1084,191,893
2022-10-03,1094,154,940
2022-10-04,1066,142,924
2022-10-05,1055,131,924
2022-10-06,1134,197,937
2022-10-07,1129,177,952
2022-10-08,1109,213,896
2022-10-09,1068,191,877
2022-10-10,1091,186,905
2022-10-11,1005,163,842
2022-10-12,1046,220,826
2022-10-13,1033,186,847
2022-10-14,1064,198,866
2022-10-15,1132,179,953
2022-10-16,1191,201,990
2022-10-17,1107,190,917
2022-10-18,1638,340,1298
2022-10-19,1342,302,1040
2022-10-20,1155,225,930
2022-10-21,1107,211,896
2022-10-22,1188,188,1000
2022-10-23,1166,176,990
2022-10-24,1203,253,950
2022-10-25,1082,186,896
2022-10-26,1051,176,875
2022-10-27,1053,165,888
2022-10-28,1043,163,880
2022-10-29,1064,152,912
2022-10-30,978,68,910
2022-10-31,1009,154,855
2022-11-01,1005,157,848
2022-11-02,980,135,845
2022-11-03,1018,162,856
2022-11-04,938,158,780
2022-11-05,993,144,849
2022-11-06,1118,183,935
2022-11-07,1049,182,867
2022-11-08,1067,179,888
2022-11-09,1011,154,857
2022-11-10,1015,165,850
2022-11-11,1013,158,855
2022-11-12,990,140,850
2022-11-13,1015,139,876
2022-11-14,982,137,845
2022-11-15,906,133,773
2022-11-16,942,158,784
2022-11-17,993,148,845
2022-11-18,961,139,822
2022-11-19,995,142,853
2022-11-20,973,123,850
2022-11-21,878,140,738
2022-11-22,932,150,782
2022-11-23,880,142,738
2022-11-24,963,137,826
2022-11-25,845,150,695
2022-11-26,910,102,808
2022-11-27,1010,142,868
2022-11-28,924,133,791
2022-11-29,951,154,797
2022-11-30,822,110,712
2022-12-01,859,118,741
2022-12-02,789,154,635
2022-12-03,787,106,681
2022-12-04,883,118,765
2022-12-05,934,162,772
2022-12-06,800,131,669
2022-12-07,773,142,631
2022-12-08,852,151,701
2022-12-09,768,129,639
2022-12-10,792,114,678
2022-12-11,856,129,727
2022-12-12,741,116,625
2022-12-13,737,139,598
2022-12-14,703,131,572
2022-12-15,785,127,658
2022-12-16,760,118,642
2022-12-17,767,83,684
2022-12-18,700,91,609
2022-12-19,762,116,646
2022-12-20,758,123,635
2022-12-21,701,112,589
2022-12-22,688,125,563
2022-12-23,694,123,571
2022-12-24,598,99,499
2022-12-25,627,89,538
2022-12-26,760,140,620
2022-12-27,686,112,574
2022-12-28,779,159,620
2022-12-29,784,131,653
2022-12-30,723,114,609
2022-12-31,667,104,563
2023-01-01,643,80,563
2023-01-02,690,87,603
2023-01-03,725,135,590
2023-01-04,701,123,578
2023-01-05,701,142,559
2023-01-06,726,131,595
2023-01-07,663,106,557
2023-01-08,669,87,582
2023-01-09,694,120,574
2023-01-10,668,114,554
2023-01-11,591,104,487
2023-01-12,705,110,595
2023-01-13,626,104,522
2023-01-14,624,89,535
2023-01-15,593,97,496
2023-01-16,558,99,459
2023-01-17,608,95,513
2023-01-18,996,193,803
2023-01-19,2118,1107,1011
2023-01-20,1824,881,943
2023-01-21,940,158,782
2023-01-22,1028,165,863
2023-01-23,1013,188,825
2023-01-24,803,168,635
2023-01-25,834,146,688
2023-01-26,805,116,689
2023-01-27,736,139,597
2023-01-28,703,151,552
2023-01-29,746,116,630
2023-01-30,658,114,544
2023-01-31,686,108,578
2023-02-01,670,112,558
2023-02-02,666,152,514
2023-02-03,635,120,515
2023-02-04,638,91,547
2023-02-05,926,123,803
2023-02-06,989,205,784
2023-02-07,1300,388,912
2023-02-08,1058,253,805
2023-02-09,873,242,631
2023-02-10,916,260,656
2023-02-11,839,151,688
2023-02-12,817,144,673
2023-02-13,776,202,574
2023-02-14,558,118,440
2023-02-15,677,165,512
2023-02-16,672,176,496
2023-02-17,564,146,418
2023-02-18,732,135,597
2023-02-19,926,121,805
2023-02-20,909,112,797
2023-02-21,604,129,475
2023-02-22,638,163,475
2023-02-23,652,140,512
2023-02-24,569,116,453
2023-02-25,688,106,582
2023-02-26,657,87,570
2023-02-27,611,118,493
2023-02-28,688,131,557
2023-03-01,660,152,508
2023-03-02,686,135,551
2023-03-03,695,148,547
2023-03-04,771,121,650
2023-03-05,840,106,734
2023-03-06,698,152,546
2023-03-07,735,137,598
2023-03-08,744,154,590
2023-03-09,674,110,564
2023-03-10,755,93,662
2023-03-11,711,83,628
2023-03-12,782,104,678
2023-03-13,620,121,499
2023-03-14,603,123,480
2023-03-15,633,102,531
2023-03-16,621,120,501
2023-03-17,549,104,445
2023-03-18,677,95,582
2023-03-19,910,110,800
2023-03-20,629,108,521
2023-03-21,688,169,519
2023-03-22,622,137,485
2023-03-23,630,104,526
2023-03-24,622,118,504
2023-03-25,730,125,605
2023-03-26,716,121,595
2023-03-27,676,144,532
2023-03-28,699,120,579
2023-03-29,697,139,558
2023-03-30,671,125,546
2023-03-31,712,133,579
2023-04-01,661,101,560
2023-04-02,790,116,674
2023-04-03,727,131,596
2023-04-04,765,123,642
2023-04-05,708,99,609
2023-04-06,638,102,536
2023-04-07,632,120,512
2023-04-08,742,114,628
2023-04-09,851,114,737
2023-04-10,651,116,535
2023-04-11,662,131,531
2023-04-12,816,168,648
2023-04-13,740,176,564
2023-04-14,696,114,582
2023-04-15,710,101,609
2023-04-16,699,102,597
2023-04-17,776,146,630
2023-04-18,692,148,544
2023-04-19,640,137,503
2023-04-20,597,118,479
2023-04-21,638,114,524
2023-04-22,731,125,606
