Time,all,pc,wise
2022-10-01,982,133,849
2022-10-02,839,120,719
2022-10-03,713,108,605
2022-10-04,650,118,532
2022-10-05,570,108,462
2022-10-06,581,121,460
2022-10-07,562,97,465
2022-10-08,558,139,419
2022-10-09,637,162,475
2022-10-10,675,154,521
2022-10-11,687,166,521
2022-10-12,707,163,544
2022-10-13,1099,228,871
2022-10-14,1764,374,1390
2022-10-15,1597,188,1409
2022-10-16,1833,236,1597
2022-10-17,1144,237,907
2022-10-18,1171,247,924
2022-10-19,1052,211,841
2022-10-20,1305,338,967
2022-10-21,1218,257,961
2022-10-22,1224,162,1062
2022-10-23,2077,240,1837
2022-10-24,1141,228,913
2022-10-25,1074,219,855
2022-10-26,965,176,789
2022-10-27,835,146,689
2022-10-28,785,148,637
2022-10-29,797,108,689
2022-10-30,762,74,688
2022-10-31,654,137,517
2022-11-01,661,169,492
2022-11-02,658,146,512
2022-11-03,607,120,487
2022-11-04,747,175,572
2022-11-05,627,106,521
2022-11-06,658,95,563
2022-11-07,619,169,450
2022-11-08,636,154,482
2022-11-09,659,172,487
2022-11-10,617,151,466
2022-11-11,605,154,451
2022-11-12,664,104,560
2022-11-13,799,104,695
2022-11-14,607,106,501
2022-11-15,609,118,491
2022-11-16,2554,811,1743
2022-11-17,1372,411,961
2022-11-18,1057,274,783
2022-11-19,761,131,630
2022-11-20,1022,157,865
2022-11-21,1119,212,907
2022-11-22,1084,204,880
2022-11-23,1114,209,905
2022-11-24,1131,208,923
2022-11-25,1075,173,902
2022-11-26,1031,146,885
2022-11-27,1060,137,923
2022-11-28,1023,168,855
2022-11-29,1067,173,894
2022-11-30,819,188,631
2022-12-01,757,200,557
2022-12-02,731,157,574
2022-12-03,820,154,666
2022-12-04,744,146,598
2022-12-05,811,166,645
2022-12-06,988,202,786
2022-12-07,842,191,651
2022-12-08,793,168,625
2022-12-09,694,144,550
2022-12-10,717,101,616
2022-12-11,806,137,669
2022-12-12,775,155,620
2022-12-13,770,213,557
2022-12-14,660,191,469
2022-12-15,847,202,645
2022-12-16,732,175,557
2022-12-17,718,144,574
2022-12-18,814,150,664
2022-12-19,1107,243,864
2022-12-20,1084,233,851
2022-12-21,971,173,798
2022-12-22,1025,169,856
2022-12-23,966,173,793
2022-12-24,859,118,741
2022-12-25,796,112,684
2022-12-26,848,184,664
2022-12-27,1000,209,791
2022-12-28,878,163,715
2022-12-29,853,201,652
2022-12-30,750,187,563
2022-12-31,893,110,783
2023-01-01,936,131,805
2023-01-02,705,106,599
2023-01-03,797,195,602
2023-01-04,733,183,550
2023-01-05,617,157,460
2023-01-06,585,142,443
2023-01-07,591,104,487
2023-01-08,572,97,475
2023-01-09,634,140,494
2023-01-10,615,140,475
2023-01-11,654,139,515
2023-01-12,505,121,384
2023-01-13,496,112,384
2023-01-14,429,87,342
2023-01-15,442,87,355
2023-01-16,436,110,326
2023-01-17,576,129,447
2023-01-18,528,102,426
2023-01-19,522,106,416
2023-01-20,527,97,430
2023-01-21,557,95,462
2023-01-22,428,83,345
2023-01-23,694,89,605
2023-01-24,446,74,372
2023-01-25,415,89,326
2023-01-26,434,78,356
2023-01-27,385,78,307
2023-01-28,432,99,333
2023-01-29,363,104,259
2023-01-30,365,104,261
2023-01-31,437,131,306
2023-02-01,398,102,296
2023-02-02,349,83,266
2023-02-03,419,120,299
2023-02-04,402,78,324
2023-02-05,415,87,328
2023-02-06,542,173,369
2023-02-07,516,144,372
2023-02-08,434,146,288
2023-02-09,390,120,270
2023-02-10,376,137,239
2023-02-11,449,95,354
2023-02-12,358,74,284
2023-02-13,414,116,298
2023-02-14,416,108,308
2023-02-15,460,137,323
2023-02-16,427,120,307
2023-02-17,668,177,491
2023-02-18,498,97,401
2023-02-19,479,125,354
2023-02-20,431,139,292
2023-02-21,365,120,245
2023-02-22,581,180,401
2023-02-23,504,150,354
2023-02-24,454,169,285
2023-02-25,391,102,289
2023-02-26,387,93,294
2023-02-27,388,110,278
2023-02-28,447,155,292
2023-03-01,413,146,267
2023-03-02,460,148,312
2023-03-03,515,152,363
2023-03-04,496,120,376
2023-03-05,476,102,374
2023-03-06,465,173,292
2023-03-07,467,190,277
2023-03-08,727,183,544
2023-03-09,616,184,432
2023-03-10,450,127,323
2023-03-11,380,91,289
2023-03-12,477,93,384
2023-03-13,427,142,285
2023-03-14,411,148,263
2023-03-15,385,108,277
2023-03-16,436,137,299
2023-03-17,426,151,275
2023-03-18,400,104,296
2023-03-19,392,93,299
2023-03-20,394,148,246
2023-03-21,416,129,287
2023-03-22,439,129,310
2023-03-23,455,152,303
2023-03-24,460,169,291
2023-03-25,407,93,314
2023-03-26,396,101,295
2023-03-27,438,144,294
2023-03-28,468,135,333
2023-03-29,376,144,232
2023-03-30,443,166,277
2023-03-31,496,123,373
2023-04-01,461,108,353
2023-04-02,579,142,437
2023-04-03,488,146,342
2023-04-04,426,118,308
2023-04-05,421,114,307
2023-04-06,471,151,320
2023-04-07,636,172,464
2023-04-08,434,104,330
2023-04-09,402,120,282
2023-04-10,435,165,270
2023-04-11,477,177,300
2023-04-12,556,144,412
2023-04-13,458,120,338
2023-04-14,461,131,330
2023-04-15,486,110,376
2023-04-16,474,91,383
2023-04-17,490,155,335
2023-04-18,444,131,313
2023-04-19,350,102,248
2023-04-20,411,127,284
2023-04-21,388,129,259
2023-04-22,377,99,278
