index,丁宁
2023-01-24,2052
2023-01-25,257
2023-01-26,1421
2023-01-27,308
2023-01-28,868
2023-01-29,392
2023-01-30,614
2023-01-31,732
2023-02-01,498
2023-02-02,691
2023-02-03,742
2023-02-04,757
2023-02-05,181
2023-02-06,976
2023-02-07,1128
2023-02-08,848
2023-02-09,974
2023-02-10,668
2023-02-11,753
2023-02-12,1755
2023-02-13,37594
2023-02-14,6425
2023-02-15,525
2023-02-16,827
2023-02-17,3817
2023-02-18,10326
2023-02-19,1132
2023-02-20,6058
2023-02-21,2342
2023-02-22,587
2023-02-23,424
2023-02-24,300
2023-02-25,299270
2023-02-26,5892
2023-02-27,1456
2023-02-28,1463
2023-03-01,1064
2023-03-02,867
2023-03-03,1213
2023-03-04,807
2023-03-05,655
2023-03-06,494
2023-03-07,440
2023-03-08,1015
2023-03-09,1481
2023-03-10,2077
2023-03-11,953
2023-03-12,831
2023-03-13,3558
2023-03-14,956
2023-03-15,751
2023-03-16,803
2023-03-17,503
2023-03-18,1293
2023-03-19,8524
2023-03-20,1432
2023-03-21,1356
2023-03-22,604
2023-03-23,1361
2023-03-24,1023
2023-03-25,413
2023-03-26,918
2023-03-27,261
2023-03-28,1007
2023-03-29,670
2023-03-30,1342
2023-03-31,1885
2023-04-01,1989
2023-04-02,1239
2023-04-03,3398
2023-04-04,1179
2023-04-05,1055
2023-04-06,440
2023-04-07,63318
2023-04-08,1819
2023-04-09,1668
2023-04-10,631
2023-04-11,449
2023-04-12,796
2023-04-13,460
2023-04-14,453
2023-04-15,4625
2023-04-16,2805
2023-04-17,1031
2023-04-18,513
2023-04-19,2554
2023-04-20,538
2023-04-21,1080
2023-04-22,1013
2023-04-23,1214
2023-04-24,720
