index,孙颖莎
2023-01-24,38224
2023-01-25,74018
2023-01-26,56019
2023-01-27,52646
2023-01-28,42009
2023-01-29,41658
2023-01-30,37289
2023-01-31,69193
2023-02-01,56246
2023-02-02,63334
2023-02-03,50759
2023-02-04,57983
2023-02-05,62549
2023-02-06,46736
2023-02-07,146839
2023-02-08,116665
2023-02-09,69937
2023-02-10,49530
2023-02-11,39532
2023-02-12,45918
2023-02-13,40373
2023-02-14,66126
2023-02-15,43245
2023-02-16,81026
2023-02-17,49866
2023-02-18,150999
2023-02-19,140006
2023-02-20,248510
2023-02-21,130678
2023-02-22,260400
2023-02-23,434300
2023-02-24,102929
2023-02-25,39309
2023-02-26,138520
2023-02-27,37607
2023-02-28,83452
2023-03-01,120156
2023-03-02,106771
2023-03-03,67954
2023-03-04,54403
2023-03-05,83689
2023-03-06,128860
2023-03-07,110322
2023-03-08,127131
2023-03-09,150630
2023-03-10,180143
2023-03-11,81159
2023-03-12,212205
2023-03-13,218390
2023-03-14,373100
2023-03-15,329553
2023-03-16,938482
2023-03-17,473874
2023-03-18,706858
2023-03-19,1009357
2023-03-20,292855
2023-03-21,156286
2023-03-22,94321
2023-03-23,113819
2023-03-24,70403
2023-03-25,268491
2023-03-26,148310
2023-03-27,270212
2023-03-28,185943
2023-03-29,603389
2023-03-30,164403
2023-03-31,51907
2023-04-01,59520
2023-04-02,45003
2023-04-03,251919
2023-04-04,89693
2023-04-05,38159
2023-04-06,74636
2023-04-07,101331
2023-04-08,89805
2023-04-09,73418
2023-04-10,207408
2023-04-11,85969
2023-04-12,154968
2023-04-13,261014
2023-04-14,330390
2023-04-15,563770
2023-04-16,139774
2023-04-17,126528
2023-04-18,119752
2023-04-19,236427
2023-04-20,260043
2023-04-21,229875
2023-04-22,315083
2023-04-23,242016
2023-04-24,67175
