index,李娜
2023-01-24,2630
2023-01-25,6361
2023-01-26,5001
2023-01-27,17796
2023-01-28,5525
2023-01-29,4230
2023-01-30,7772
2023-01-31,3619
2023-02-01,5478
2023-02-02,6005
2023-02-03,4923
2023-02-04,5990
2023-02-05,6501
2023-02-06,72132
2023-02-07,6254
2023-02-08,9036
2023-02-09,6900
2023-02-10,11570
2023-02-11,6956
2023-02-12,8413
2023-02-13,11539
2023-02-14,6978
2023-02-15,7747
2023-02-16,20300
2023-02-17,5100
2023-02-18,6482
2023-02-19,5543
2023-02-20,2946
2023-02-21,3585
2023-02-22,3321
2023-02-23,3685
2023-02-24,5580
2023-02-25,2509
2023-02-26,10553
2023-02-27,3299
2023-02-28,2974
2023-03-01,5156
2023-03-02,4364
2023-03-03,6027
2023-03-04,2429
2023-03-05,3133
2023-03-06,3375
2023-03-07,2297
2023-03-08,1850
2023-03-09,3017
2023-03-10,9226
2023-03-11,2972
2023-03-12,2568
2023-03-13,6022
2023-03-14,6916
2023-03-15,3710
2023-03-16,2703
2023-03-17,5822
2023-03-18,3682
2023-03-19,4835
2023-03-20,27616
2023-03-21,4757
2023-03-22,3660
2023-03-23,2585
2023-03-24,3491
2023-03-25,5362
2023-03-26,5687
2023-03-27,4365
2023-03-28,4538
2023-03-29,6426
2023-03-30,2625
2023-03-31,8512
2023-04-01,5557
2023-04-02,3903
2023-04-03,5457
2023-04-04,8477
2023-04-05,5118
2023-04-06,5374
2023-04-07,6675
2023-04-08,4788
2023-04-09,4129
2023-04-10,15145
2023-04-11,16316
2023-04-12,5658
2023-04-13,4903
2023-04-14,2741
2023-04-15,1720
2023-04-16,2221
2023-04-17,2473
2023-04-18,1345
2023-04-19,2412
2023-04-20,1634
2023-04-21,2739
2023-04-22,4624
2023-04-23,8893
2023-04-24,5023
