Time,all,pc,wise
2022-10-01,2143,223,1920
2022-10-02,1953,216,1737
2022-10-03,1781,205,1576
2022-10-04,1885,226,1659
2022-10-05,2231,231,2000
2022-10-06,2164,243,1921
2022-10-07,1964,242,1722
2022-10-08,1714,287,1427
2022-10-09,1733,296,1437
2022-10-10,2097,298,1799
2022-10-11,2191,385,1806
2022-10-12,2023,323,1700
2022-10-13,2971,519,2452
2022-10-14,2621,492,2129
2022-10-15,2643,305,2338
2022-10-16,2649,313,2336
2022-10-17,2566,448,2118
2022-10-18,2187,358,1829
2022-10-19,2448,681,1767
2022-10-20,2000,319,1681
2022-10-21,2143,321,1822
2022-10-22,2315,281,2034
2022-10-23,2925,329,2596
2022-10-24,2448,437,2011
2022-10-25,2190,347,1843
2022-10-26,2094,335,1759
2022-10-27,2139,352,1787
2022-10-28,2005,363,1642
2022-10-29,2196,273,1923
2022-10-30,2135,140,1995
2022-10-31,1880,296,1584
2022-11-01,2028,285,1743
2022-11-02,1933,344,1589
2022-11-03,1889,287,1602
2022-11-04,1923,361,1562
2022-11-05,1975,242,1733
2022-11-06,1984,260,1724
2022-11-07,1781,372,1409
2022-11-08,1828,391,1437
2022-11-09,1773,304,1469
2022-11-10,1773,380,1393
2022-11-11,1796,397,1399
2022-11-12,1812,254,1558
2022-11-13,1819,242,1577
2022-11-14,1686,267,1419
2022-11-15,1788,267,1521
2022-11-16,2096,392,1704
2022-11-17,2013,374,1639
2022-11-18,1925,409,1516
2022-11-19,1937,248,1689
2022-11-20,2011,298,1713
2022-11-21,1991,355,1636
2022-11-22,2297,414,1883
2022-11-23,2354,350,2004
2022-11-24,2185,338,1847
2022-11-25,1965,279,1686
2022-11-26,1877,234,1643
2022-11-27,1856,236,1620
2022-11-28,1682,287,1395
2022-11-29,1613,281,1332
2022-11-30,1641,406,1235
2022-12-01,1480,265,1215
2022-12-02,1465,259,1206
2022-12-03,1581,218,1363
2022-12-04,1730,211,1519
2022-12-05,1436,271,1165
2022-12-06,1711,267,1444
2022-12-07,1425,243,1182
2022-12-08,1522,256,1266
2022-12-09,1363,216,1147
2022-12-10,1383,190,1193
2022-12-11,1480,237,1243
2022-12-12,1182,195,987
2022-12-13,1221,239,982
2022-12-14,1234,257,977
2022-12-15,1199,201,998
2022-12-16,1221,247,974
2022-12-17,1202,202,1000
2022-12-18,1151,184,967
2022-12-19,1348,222,1126
2022-12-20,1254,213,1041
2022-12-21,1285,223,1062
2022-12-22,1273,211,1062
2022-12-23,1227,228,999
2022-12-24,1101,155,946
2022-12-25,1124,157,967
2022-12-26,1209,195,1014
2022-12-27,1209,225,984
2022-12-28,1194,211,983
2022-12-29,1191,213,978
2022-12-30,1226,226,1000
2022-12-31,1102,148,954
2023-01-01,1105,150,955
2023-01-02,1150,170,980
2023-01-03,1170,207,963
2023-01-04,1282,284,998
2023-01-05,1490,344,1146
2023-01-06,1312,229,1083
2023-01-07,1217,172,1045
2023-01-08,1686,276,1410
2023-01-09,3197,507,2690
2023-01-10,1509,309,1200
2023-01-11,1165,212,953
2023-01-12,1153,202,951
2023-01-13,1157,190,967
2023-01-14,1337,198,1139
2023-01-15,1152,176,976
2023-01-16,1113,158,955
2023-01-17,1075,173,902
2023-01-18,1080,163,917
2023-01-19,1082,161,921
2023-01-20,1079,151,928
2023-01-21,1416,112,1304
2023-01-22,1666,144,1522
2023-01-23,1276,118,1158
2023-01-24,1115,131,984
2023-01-25,1358,123,1235
2023-01-26,1176,121,1055
2023-01-27,1086,127,959
2023-01-28,1211,186,1025
2023-01-29,1153,186,967
2023-01-30,1149,182,967
2023-01-31,1220,234,986
2023-02-01,1177,215,962
2023-02-02,1188,197,991
2023-02-03,1573,391,1182
2023-02-04,1266,179,1087
2023-02-05,1156,158,998
2023-02-06,1152,213,939
2023-02-07,1177,208,969
2023-02-08,1618,271,1347
2023-02-09,1195,223,972
2023-02-10,1199,205,994
2023-02-11,1536,159,1377
2023-02-12,1405,157,1248
2023-02-13,1191,218,973
2023-02-14,1175,222,953
2023-02-15,1265,240,1025
2023-02-16,1312,212,1100
2023-02-17,1527,274,1253
2023-02-18,1465,197,1268
2023-02-19,1447,191,1256
2023-02-20,1536,259,1277
2023-02-21,1415,197,1218
2023-02-22,1347,285,1062
2023-02-23,1335,279,1056
2023-02-24,1225,234,991
2023-02-25,1263,190,1073
2023-02-26,1300,200,1100
2023-02-27,1292,273,1019
2023-02-28,1284,268,1016
2023-03-01,1600,248,1352
2023-03-02,1674,307,1367
2023-03-03,1419,243,1176
2023-03-04,1494,215,1279
2023-03-05,1426,208,1218
