Time,all,pc,wise
2022-10-01,1172,191,981
2022-10-02,1134,165,969
2022-10-03,1201,179,1022
2022-10-04,1160,179,981
2022-10-05,1105,150,955
2022-10-06,1148,193,955
2022-10-07,1119,179,940
2022-10-08,1119,212,907
2022-10-09,1195,207,988
2022-10-10,1127,220,907
2022-10-11,2969,361,2608
2022-10-12,2556,397,2159
2022-10-13,1304,247,1057
2022-10-14,1207,222,985
2022-10-15,1150,194,956
2022-10-16,1208,195,1013
2022-10-17,1122,184,938
2022-10-18,1168,240,928
2022-10-19,1110,204,906
2022-10-20,1101,187,914
2022-10-21,1150,200,950
2022-10-22,1154,169,985
2022-10-23,1196,165,1031
2022-10-24,1265,288,977
2022-10-25,1141,229,912
2022-10-26,1127,195,932
2022-10-27,1216,245,971
2022-10-28,1150,183,967
2022-10-29,1161,195,966
2022-10-30,1055,85,970
2022-10-31,1117,208,909
2022-11-01,1060,186,874
2022-11-02,1097,201,896
2022-11-03,1096,186,910
2022-11-04,1130,197,933
2022-11-05,1045,139,906
2022-11-06,1080,155,925
2022-11-07,1089,195,894
2022-11-08,1056,179,877
2022-11-09,1113,213,900
2022-11-10,1092,202,890
2022-11-11,1068,188,880
2022-11-12,1068,163,905
2022-11-13,1082,162,920
2022-11-14,1048,170,878
2022-11-15,1091,202,889
2022-11-16,1495,194,1301
2022-11-17,1149,180,969
2022-11-18,1098,169,929
2022-11-19,1119,165,954
2022-11-20,1574,200,1374
2022-11-21,1188,208,980
2022-11-22,1146,176,970
2022-11-23,1137,197,940
2022-11-24,1192,222,970
2022-11-25,1144,176,968
2022-11-26,1090,166,924
2022-11-27,1072,157,915
2022-11-28,1125,191,934
2022-11-29,1070,180,890
2022-11-30,1031,157,874
2022-12-01,1086,188,898
2022-12-02,1054,172,882
2022-12-03,1067,159,908
2022-12-04,1055,162,893
2022-12-05,1073,195,878
2022-12-06,1110,191,919
2022-12-07,1081,205,876
2022-12-08,1030,170,860
2022-12-09,1035,184,851
2022-12-10,1048,177,871
2022-12-11,1001,123,878
2022-12-12,1005,159,846
2022-12-13,1053,190,863
2022-12-14,1021,163,858
2022-12-15,1048,188,860
2022-12-16,1069,200,869
2022-12-17,1154,193,961
2022-12-18,1070,166,904
2022-12-19,1129,209,920
2022-12-20,1160,202,958
2022-12-21,1130,195,935
2022-12-22,1076,162,914
2022-12-23,2049,450,1599
2022-12-24,1192,218,974
2022-12-25,1115,187,928
2022-12-26,1115,218,897
2022-12-27,1074,194,880
2022-12-28,1072,197,875
2022-12-29,1190,216,974
2022-12-30,1624,287,1337
2022-12-31,1398,274,1124
2023-01-01,1157,223,934
2023-01-02,1079,179,900
2023-01-03,1094,222,872
2023-01-04,1064,201,863
2023-01-05,1071,212,859
2023-01-06,1071,204,867
2023-01-07,1000,137,863
2023-01-08,1048,157,891
2023-01-09,1076,198,878
2023-01-10,1062,216,846
2023-01-11,1022,169,853
2023-01-12,1032,170,862
2023-01-13,1092,159,933
2023-01-14,996,150,846
2023-01-15,992,140,852
2023-01-16,996,146,850
2023-01-17,989,142,847
2023-01-18,937,125,812
2023-01-19,990,146,844
2023-01-20,840,114,726
2023-01-21,935,87,848
2023-01-22,882,91,791
2023-01-23,959,104,855
2023-01-24,956,99,857
2023-01-25,997,133,864
2023-01-26,1003,133,870
2023-01-27,971,127,844
2023-01-28,1015,165,850
2023-01-29,1000,163,837
2023-01-30,940,152,788
2023-01-31,1023,159,864
2023-02-01,1032,169,863
2023-02-02,1015,169,846
2023-02-03,1112,170,942
2023-02-04,1161,155,1006
2023-02-05,1359,140,1219
2023-02-06,1942,321,1621
2023-02-07,1369,335,1034
2023-02-08,1720,338,1382
2023-02-09,1228,257,971
2023-02-10,1095,204,891
2023-02-11,1042,144,898
2023-02-12,1039,125,914
2023-02-13,1052,187,865
2023-02-14,1048,184,864
2023-02-15,1069,209,860
2023-02-16,1087,198,889
2023-02-17,1007,170,837
2023-02-18,1048,152,896
2023-02-19,996,125,871
2023-02-20,1075,186,889
2023-02-21,1097,205,892
2023-02-22,1046,169,877
2023-02-23,1054,177,877
2023-02-24,1078,177,901
2023-02-25,1003,140,863
2023-02-26,1071,157,914
2023-02-27,1080,198,882
2023-02-28,1070,208,862
2023-03-01,1060,173,887
2023-03-02,1023,146,877
2023-03-03,1065,200,865
2023-03-04,1039,151,888
2023-03-05,1031,139,892
2023-03-06,1082,200,882
2023-03-07,1080,183,897
2023-03-08,1016,158,858
2023-03-09,1049,182,867
2023-03-10,1030,154,876
2023-03-11,1034,165,869
2023-03-12,1058,154,904
2023-03-13,1063,166,897
2023-03-14,1145,195,950
2023-03-15,1144,177,967
2023-03-16,1153,197,956
2023-03-17,1097,188,909
2023-03-18,1074,152,922
2023-03-19,1100,135,965
2023-03-20,1099,184,915
2023-03-21,1319,388,931
2023-03-22,1086,183,903
2023-03-23,1105,219,886
2023-03-24,1078,170,908
2023-03-25,1073,154,919
2023-03-26,1007,114,893
2023-03-27,1026,163,863
2023-03-28,1047,184,863
2023-03-29,1032,180,852
2023-03-30,1095,208,887
2023-03-31,1090,213,877
2023-04-01,1154,202,952
2023-04-02,1522,295,1227
2023-04-03,3256,1026,2230
2023-04-04,3272,978,2294
2023-04-05,2032,478,1554
2023-04-06,1718,529,1189
2023-04-07,1486,538,948
2023-04-08,1290,313,977
2023-04-09,1153,205,948
2023-04-10,1600,312,1288
2023-04-11,1306,201,1105
2023-04-12,1226,262,964
2023-04-13,1302,259,1043
2023-04-14,1221,234,987
2023-04-15,1107,159,948
2023-04-16,1127,184,943
2023-04-17,1139,234,905
2023-04-18,1109,219,890
2023-04-19,1068,193,875
2023-04-20,1055,179,876
2023-04-21,1035,177,858
2023-04-22,1081,179,902
