Time,all,pc,wise
2022-10-01,1378,148,1230
2022-10-02,1093,169,924
2022-10-03,2339,208,2131
2022-10-04,1355,264,1091
2022-10-05,1031,152,879
2022-10-06,5161,282,4879
2022-10-07,6893,433,6460
2022-10-08,3685,524,3161
2022-10-09,5505,609,4896
2022-10-10,3315,448,2867
2022-10-11,2902,457,2445
2022-10-12,2281,364,1917
2022-10-13,2374,388,1986
2022-10-14,1983,372,1611
2022-10-15,2005,222,1783
2022-10-16,1408,208,1200
2022-10-17,1172,265,907
2022-10-18,1281,299,982
2022-10-19,1299,248,1051
2022-10-20,1149,236,913
2022-10-21,1043,193,850
2022-10-22,1046,155,891
2022-10-23,1048,162,886
2022-10-24,1145,251,894
2022-10-25,1051,179,872
2022-10-26,959,173,786
2022-10-27,1044,191,853
2022-10-28,916,182,734
2022-10-29,1017,152,865
2022-10-30,822,78,744
2022-10-31,755,151,604
2022-11-01,808,180,628
2022-11-02,868,179,689
2022-11-03,985,183,802
2022-11-04,1166,262,904
2022-11-05,1121,165,956
2022-11-06,1004,148,856
2022-11-07,993,207,786
2022-11-08,1076,212,864
2022-11-09,1002,197,805
2022-11-10,949,198,751
2022-11-11,999,215,784
2022-11-12,1152,207,945
2022-11-13,2043,240,1803
2022-11-14,1752,366,1386
2022-11-15,1240,288,952
2022-11-16,1262,284,978
2022-11-17,1625,293,1332
2022-11-18,1776,349,1427
2022-11-19,1635,229,1406
2022-11-20,4745,701,4044
2022-11-21,18217,1419,16798
2022-11-22,11872,1255,10617
2022-11-23,8032,1100,6932
2022-11-24,8203,984,7219
2022-11-25,6962,920,6042
2022-11-26,7555,965,6590
2022-11-27,5928,881,5047
2022-11-28,8850,1202,7648
2022-11-29,6939,912,6027
2022-11-30,4712,817,3895
2022-12-01,5551,943,4608
2022-12-02,5828,884,4944
2022-12-03,4279,648,3631
2022-12-04,3778,490,3288
2022-12-05,4232,904,3328
2022-12-06,9634,960,8674
2022-12-07,7858,951,6907
2022-12-08,3168,662,2506
2022-12-09,5035,799,4236
2022-12-10,8450,914,7536
2022-12-11,4501,566,3935
2022-12-12,2447,442,2005
2022-12-13,1941,377,1564
2022-12-14,2041,430,1611
2022-12-15,1996,372,1624
2022-12-16,1747,304,1443
2022-12-17,4193,577,3616
2022-12-18,10061,907,9154
2022-12-19,10056,952,9104
2022-12-20,2737,470,2267
2022-12-21,2212,375,1837
2022-12-22,2124,406,1718
2022-12-23,1929,361,1568
2022-12-24,1383,207,1176
2022-12-25,1210,204,1006
2022-12-26,1287,304,983
2022-12-27,1292,343,949
2022-12-28,1217,285,932
2022-12-29,1189,270,919
2022-12-30,1210,267,943
2022-12-31,1088,161,927
2023-01-01,1089,169,920
2023-01-02,1067,176,891
2023-01-03,1181,276,905
2023-01-04,1095,208,887
2023-01-05,1076,218,858
2023-01-06,1033,207,826
2023-01-07,977,140,837
2023-01-08,916,133,783
2023-01-09,861,162,699
2023-01-10,905,197,708
2023-01-11,974,273,701
2023-01-12,879,198,681
2023-01-13,791,163,628
2023-01-14,955,172,783
2023-01-15,1010,165,845
2023-01-16,810,176,634
2023-01-17,692,163,529
2023-01-18,721,142,579
2023-01-19,630,101,529
2023-01-20,609,110,499
2023-01-21,577,97,480
2023-01-22,640,104,536
2023-01-23,869,99,770
2023-01-24,919,93,826
2023-01-25,897,142,755
2023-01-26,737,114,623
2023-01-27,652,110,542
2023-01-28,587,125,462
2023-01-29,639,140,499
2023-01-30,643,151,492
2023-01-31,818,165,653
2023-02-01,587,150,437
2023-02-02,821,129,692
2023-02-03,946,162,784
2023-02-04,679,102,577
2023-02-05,711,97,614
2023-02-06,634,142,492
2023-02-07,657,163,494
2023-02-08,707,121,586
2023-02-09,767,158,609
2023-02-10,688,157,531
2023-02-11,773,104,669
2023-02-12,639,118,521
2023-02-13,624,151,473
2023-02-14,662,168,494
2023-02-15,921,257,664
