Time,all,pc,wise
2022-10-01,3833,375,3458
2022-10-02,2564,262,2302
2022-10-03,2305,219,2086
2022-10-04,2222,273,1949
2022-10-05,2053,271,1782
2022-10-06,1922,312,1610
2022-10-07,1942,302,1640
2022-10-08,1706,354,1352
2022-10-09,1552,281,1271
2022-10-10,1680,285,1395
2022-10-11,1833,330,1503
2022-10-12,2030,319,1711
2022-10-13,3076,523,2553
2022-10-14,3058,482,2576
2022-10-15,9716,551,9165
2022-10-16,4586,434,4152
2022-10-17,3149,422,2727
2022-10-18,2899,403,2496
2022-10-19,4508,628,3880
2022-10-20,2773,510,2263
2022-10-21,3708,504,3204
2022-10-22,2707,361,2346
2022-10-23,2671,313,2358
2022-10-24,2064,375,1689
2022-10-25,2089,346,1743
2022-10-26,2494,459,2035
2022-10-27,3548,617,2931
2022-10-28,5909,580,5329
2022-10-29,4157,443,3714
2022-10-30,4035,123,3912
2022-10-31,2723,436,2287
2022-11-01,2205,425,1780
2022-11-02,2022,377,1645
2022-11-03,1923,338,1585
2022-11-04,2308,383,1925
2022-11-05,2523,329,2194
2022-11-06,2277,296,1981
2022-11-07,2296,475,1821
2022-11-08,1854,333,1521
2022-11-09,2022,400,1622
2022-11-10,2026,354,1672
2022-11-11,3379,417,2962
2022-11-12,2857,315,2542
2022-11-13,1900,256,1644
2022-11-14,1760,357,1403
2022-11-15,2236,425,1811
2022-11-16,1958,378,1580
2022-11-17,1739,312,1427
2022-11-18,1924,371,1553
2022-11-19,1774,243,1531
2022-11-20,2014,264,1750
2022-11-21,2655,482,2173
2022-11-22,2500,439,2061
2022-11-23,2256,414,1842
2022-11-24,2286,409,1877
2022-11-25,2033,343,1690
2022-11-26,1858,296,1562
2022-11-27,1835,251,1584
2022-11-28,1677,364,1313
2022-11-29,1566,310,1256
2022-11-30,1415,281,1134
2022-12-01,1624,363,1261
2022-12-02,1917,439,1478
2022-12-03,5331,495,4836
2022-12-04,2044,250,1794
2022-12-05,1696,329,1367
2022-12-06,1696,357,1339
2022-12-07,5381,501,4880
2022-12-08,1980,364,1616
2022-12-09,1679,287,1392
2022-12-10,2090,267,1823
2022-12-11,1608,247,1361
2022-12-12,1514,315,1199
2022-12-13,1405,270,1135
2022-12-14,6822,492,6330
2022-12-15,2329,426,1903
2022-12-16,2146,371,1775
2022-12-17,1764,276,1488
2022-12-18,1841,209,1632
2022-12-19,1772,366,1406
2022-12-20,1503,273,1230
2022-12-21,1543,333,1210
2022-12-22,2195,380,1815
2022-12-23,2209,346,1863
2022-12-24,5477,389,5088
2022-12-25,3156,383,2773
2022-12-26,3317,468,2849
2022-12-27,3755,810,2945
2022-12-28,2811,498,2313
2022-12-29,2662,678,1984
2022-12-30,2982,516,2466
2022-12-31,2127,262,1865
2023-01-01,1904,211,1693
2023-01-02,2503,278,2225
2023-01-03,2096,409,1687
2023-01-04,2305,447,1858
2023-01-05,2352,416,1936
2023-01-06,2036,358,1678
2023-01-07,5732,340,5392
2023-01-08,2405,265,2140
2023-01-09,2490,385,2105
2023-01-10,1988,349,1639
2023-01-11,1683,318,1365
2023-01-12,2007,323,1684
2023-01-13,2146,335,1811
2023-01-14,5422,278,5144
2023-01-15,2093,219,1874
2023-01-16,1691,278,1413
2023-01-17,1585,262,1323
2023-01-18,6185,405,5780
2023-01-19,2765,557,2208
2023-01-20,1638,201,1437
2023-01-21,1438,169,1269
2023-01-22,1938,191,1747
2023-01-23,7548,340,7208
2023-01-24,5891,323,5568
2023-01-25,3512,216,3296
2023-01-26,2357,229,2128
2023-01-27,1800,191,1609
2023-01-28,1552,211,1341
2023-01-29,1466,229,1237
2023-01-30,1410,313,1097
2023-01-31,1653,340,1313
2023-02-01,1721,431,1290
2023-02-02,1833,305,1528
2023-02-03,1762,336,1426
2023-02-04,1547,212,1335
2023-02-05,1464,191,1273
2023-02-06,1280,276,1004
2023-02-07,1235,240,995
2023-02-08,1789,399,1390
2023-02-09,1706,369,1337
2023-02-10,1489,321,1168
2023-02-11,1573,202,1371
2023-02-12,1466,176,1290
