Time,all,pc,wise
2022-10-01,5618,485,5133
2022-10-02,4773,450,4323
2022-10-03,8905,620,8285
2022-10-04,8587,673,7914
2022-10-05,5185,506,4679
2022-10-06,6952,755,6197
2022-10-07,14433,881,13552
2022-10-08,56044,4336,51708
2022-10-09,43460,2629,40831
2022-10-10,13141,1430,11711
2022-10-11,6791,986,5805
2022-10-12,5664,878,4786
2022-10-13,5049,740,4309
2022-10-14,3863,628,3235
2022-10-15,3879,457,3422
2022-10-16,4292,431,3861
2022-10-17,3228,577,2651
2022-10-18,3813,658,3155
2022-10-19,4312,693,3619
2022-10-20,6869,845,6024
2022-10-21,9848,888,8960
2022-10-22,22673,1322,21351
2022-10-23,48759,1738,47021
2022-10-24,12463,1208,11255
2022-10-25,9085,1351,7734
2022-10-26,6557,913,5644
2022-10-27,7002,845,6157
2022-10-28,23281,2172,21109
2022-10-29,13861,941,12920
2022-10-30,17987,394,17593
2022-10-31,12025,1408,10617
2022-11-01,6125,860,5265
2022-11-02,5622,857,4765
2022-11-03,5991,852,5139
2022-11-04,4636,718,3918
2022-11-05,6984,746,6238
2022-11-06,11594,915,10679
2022-11-07,7510,903,6607
2022-11-08,4402,699,3703
2022-11-09,3824,566,3258
2022-11-10,5336,820,4516
2022-11-11,5603,792,4811
2022-11-12,15509,991,14518
2022-11-13,8111,857,7254
2022-11-14,3894,636,3258
2022-11-15,3555,757,2798
2022-11-16,5016,946,4070
2022-11-17,4548,842,3706
2022-11-18,4200,870,3330
2022-11-19,3595,470,3125
2022-11-20,3255,412,2843
2022-11-21,2692,555,2137
2022-11-22,2553,527,2026
2022-11-23,2247,482,1765
2022-11-24,2281,454,1827
2022-11-25,1952,357,1595
2022-11-26,1896,242,1654
2022-11-27,1963,295,1668
2022-11-28,1737,324,1413
2022-11-29,1846,372,1474
2022-11-30,1676,343,1333
2022-12-01,1644,274,1370
2022-12-02,1611,332,1279
2022-12-03,2508,341,2167
2022-12-04,3082,394,2688
2022-12-05,2976,538,2438
2022-12-06,2468,426,2042
2022-12-07,3542,456,3086
2022-12-08,2627,430,2197
2022-12-09,2995,450,2545
2022-12-10,2237,332,1905
2022-12-11,3990,473,3517
2022-12-12,2745,468,2277
2022-12-13,2517,774,1743
2022-12-14,1766,381,1385
2022-12-15,1651,381,1270
2022-12-16,1581,312,1269
2022-12-17,1430,219,1211
2022-12-18,1405,267,1138
2022-12-19,1386,236,1150
2022-12-20,1529,296,1233
2022-12-21,1463,307,1156
2022-12-22,1443,243,1200
2022-12-23,1360,216,1144
2022-12-24,1331,234,1097
2022-12-25,1184,188,996
2022-12-26,1673,276,1397
2022-12-27,1414,270,1144
2022-12-28,1609,296,1313
2022-12-29,2497,582,1915
2022-12-30,1767,299,1468
2022-12-31,2301,426,1875
2023-01-01,1747,182,1565
2023-01-02,2687,243,2444
2023-01-03,1859,327,1532
2023-01-04,1607,309,1298
2023-01-05,1877,318,1559
2023-01-06,1498,295,1203
2023-01-07,1449,223,1226
2023-01-08,1627,209,1418
2023-01-09,1749,324,1425
2023-01-10,2280,411,1869
2023-01-11,2077,361,1716
2023-01-12,2337,313,2024
2023-01-13,1777,284,1493
2023-01-14,1561,194,1367
2023-01-15,1518,218,1300
2023-01-16,1385,264,1121
2023-01-17,1414,240,1174
2023-01-18,1347,245,1102
2023-01-19,1950,184,1766
2023-01-20,1814,190,1624
2023-01-21,1789,173,1616
2023-01-22,3173,265,2908
2023-01-23,1634,163,1471
2023-01-24,1582,155,1427
2023-01-25,1323,195,1128
2023-01-26,1662,193,1469
2023-01-27,1236,183,1053
2023-01-28,1174,187,987
2023-01-29,1249,193,1056
2023-01-30,1187,220,967
2023-01-31,1631,281,1350
2023-02-01,1178,215,963
2023-02-02,1302,231,1071
2023-02-03,1596,259,1337
2023-02-04,1185,218,967
2023-02-05,1188,193,995
2023-02-06,1201,251,950
2023-02-07,1372,239,1133
2023-02-08,1431,344,1087
2023-02-09,1601,377,1224
2023-02-10,1207,231,976
2023-02-11,1206,215,991
2023-02-12,1300,209,1091
2023-02-13,1247,302,945
2023-02-14,1254,293,961
2023-02-15,1278,305,973
2023-02-16,1192,270,922
2023-02-17,1310,301,1009
2023-02-18,2128,310,1818
2023-02-19,2490,364,2126
