Time,all,pc,wise
2022-10-01,1642,284,1358
2022-10-02,1491,274,1217
2022-10-03,1295,273,1022
2022-10-04,1250,256,994
2022-10-05,2122,406,1716
2022-10-06,1242,245,997
2022-10-07,1261,290,971
2022-10-08,1279,336,943
2022-10-09,1970,501,1469
2022-10-10,1327,347,980
2022-10-11,1229,302,927
2022-10-12,1205,267,938
2022-10-13,1339,375,964
2022-10-14,1344,383,961
2022-10-15,1629,310,1319
2022-10-16,1273,273,1000
2022-10-17,1402,364,1038
2022-10-18,1378,431,947
2022-10-19,1229,305,924
2022-10-20,1296,367,929
2022-10-21,1275,313,962
2022-10-22,1137,205,932
2022-10-23,1221,237,984
2022-10-24,3665,912,2753
2022-10-25,3453,987,2466
2022-10-26,1527,456,1071
2022-10-27,1452,329,1123
2022-10-28,1508,408,1100
2022-10-29,1362,243,1119
2022-10-30,1742,139,1603
2022-10-31,1603,343,1260
2022-11-01,1637,332,1305
2022-11-02,1257,299,958
2022-11-03,1205,273,932
2022-11-04,1832,434,1398
2022-11-05,2066,704,1362
2022-11-06,1386,257,1129
2022-11-07,1317,349,968
2022-11-08,1405,385,1020
2022-11-09,1343,372,971
2022-11-10,1241,301,940
2022-11-11,1259,262,997
2022-11-12,1415,278,1137
2022-11-13,1750,326,1424
2022-11-14,2394,482,1912
2022-11-15,1985,457,1528
2022-11-16,2234,473,1761
2022-11-17,2268,448,1820
2022-11-18,3145,628,2517
2022-11-19,4501,591,3910
2022-11-20,7900,844,7056
2022-11-21,16149,1539,14610
2022-11-22,18877,1715,17162
2022-11-23,20024,2081,17943
2022-11-24,27613,3036,24577
2022-11-25,15491,1555,13936
2022-11-26,11722,975,10747
2022-11-27,11552,933,10619
2022-11-28,11351,1134,10217
2022-11-29,8327,988,7339
2022-11-30,5873,937,4936
2022-12-01,5413,922,4491
2022-12-02,6661,961,5700
2022-12-03,8293,904,7389
2022-12-04,7625,840,6785
2022-12-05,14730,1618,13112
2022-12-06,29080,2607,26473
2022-12-07,9639,985,8654
2022-12-08,6117,867,5250
2022-12-09,5035,861,4174
2022-12-10,7069,861,6208
2022-12-11,6403,713,5690
2022-12-12,4390,741,3649
2022-12-13,4641,667,3974
2022-12-14,4695,840,3855
2022-12-15,4434,794,3640
2022-12-16,3533,523,3010
2022-12-17,3731,506,3225
2022-12-18,4793,575,4218
2022-12-19,11168,1109,10059
2022-12-20,6780,872,5908
2022-12-21,6183,823,5360
2022-12-22,6731,892,5839
2022-12-23,7064,840,6224
2022-12-24,4526,549,3977
2022-12-25,4002,538,3464
2022-12-26,3761,619,3142
2022-12-27,3596,735,2861
2022-12-28,3220,642,2578
2022-12-29,2773,546,2227
2022-12-30,2958,605,2353
2022-12-31,4309,574,3735
2023-01-01,2854,408,2446
2023-01-02,2491,371,2120
2023-01-03,2484,451,2033
2023-01-04,2614,501,2113
2023-01-05,3125,659,2466
2023-01-06,2256,546,1710
2023-01-07,1812,290,1522
2023-01-08,2573,380,2193
2023-01-09,1956,420,1536
2023-01-10,1673,400,1273
2023-01-11,2187,461,1726
2023-01-12,1615,371,1244
2023-01-13,1372,315,1057
2023-01-14,1310,243,1067
2023-01-15,1497,248,1249
2023-01-16,1273,281,992
2023-01-17,1179,236,943
2023-01-18,1149,202,947
2023-01-19,1549,377,1172
2023-01-20,1277,248,1029
2023-01-21,1629,186,1443
2023-01-22,1302,207,1095
2023-01-23,1251,188,1063
2023-01-24,1344,259,1085
2023-01-25,1137,157,980
2023-01-26,1123,166,957
2023-01-27,1166,205,961
2023-01-28,1215,243,972
2023-01-29,1160,226,934
2023-01-30,1149,216,933
2023-01-31,1145,243,902
2023-02-01,1116,220,896
2023-02-02,1198,248,950
2023-02-03,4863,2077,2786
2023-02-04,1513,211,1302
2023-02-05,1119,165,954
2023-02-06,1082,207,875
2023-02-07,1034,193,841
2023-02-08,1002,195,807
2023-02-09,1037,219,818
2023-02-10,978,163,815
2023-02-11,1042,170,872
2023-02-12,1035,158,877
2023-02-13,1045,177,868
2023-02-14,1117,229,888
2023-02-15,1109,247,862
2023-02-16,1075,207,868
2023-02-17,1062,198,864
2023-02-18,1034,146,888
2023-02-19,1074,172,902
2023-02-20,996,202,794
