Time,all,pc,wise
2022-10-01,423,85,338
2022-10-02,464,106,358
2022-10-03,421,74,347
2022-10-04,431,80,351
2022-10-05,453,95,358
2022-10-06,1035,146,889
2022-10-07,625,83,542
2022-10-08,626,112,514
2022-10-09,592,120,472
2022-10-10,587,157,430
2022-10-11,593,140,453
2022-10-12,531,137,394
2022-10-13,580,139,441
2022-10-14,791,170,621
2022-10-15,1073,163,910
2022-10-16,1510,223,1287
2022-10-17,1298,209,1089
2022-10-18,1052,188,864
2022-10-19,934,173,761
2022-10-20,791,187,604
2022-10-21,857,172,685
2022-10-22,989,118,871
2022-10-23,1061,112,949
2022-10-24,707,123,584
2022-10-25,590,139,451
2022-10-26,539,121,418
2022-10-27,626,133,493
2022-10-28,1309,152,1157
2022-10-29,1065,114,951
2022-10-30,919,68,851
2022-10-31,667,139,528
2022-11-01,634,129,505
2022-11-02,567,127,440
2022-11-03,486,93,393
2022-11-04,533,118,415
2022-11-05,457,83,374
2022-11-06,470,80,390
2022-11-07,512,114,398
2022-11-08,439,87,352
2022-11-09,487,139,348
2022-11-10,645,127,518
2022-11-11,596,104,492
2022-11-12,617,85,532
2022-11-13,600,89,511
2022-11-14,471,108,363
2022-11-15,487,114,373
2022-11-16,575,121,454
2022-11-17,2158,148,2010
2022-11-18,2628,186,2442
2022-11-19,1847,118,1729
2022-11-20,929,85,844
2022-11-21,884,144,740
2022-11-22,747,112,635
2022-11-23,610,118,492
2022-11-24,604,106,498
2022-11-25,678,110,568
2022-11-26,419,70,349
2022-11-27,513,95,418
2022-11-28,552,102,450
2022-11-29,466,99,367
2022-11-30,503,97,406
2022-12-01,395,93,302
2022-12-02,390,101,289
2022-12-03,368,80,288
2022-12-04,366,78,288
2022-12-05,360,93,267
2022-12-06,408,93,315
2022-12-07,399,97,302
2022-12-08,389,91,298
2022-12-09,426,139,287
2022-12-10,364,72,292
2022-12-11,360,68,292
2022-12-12,368,101,267
2022-12-13,477,125,352
2022-12-14,348,93,255
2022-12-15,401,99,302
2022-12-16,344,97,247
2022-12-17,405,78,327
2022-12-18,823,108,715
2022-12-19,425,104,321
2022-12-20,384,89,295
2022-12-21,391,99,292
2022-12-22,343,89,254
2022-12-23,347,87,260
2022-12-24,287,70,217
2022-12-25,327,72,255
2022-12-26,362,101,261
2022-12-27,358,95,263
2022-12-28,368,91,277
2022-12-29,354,87,267
2022-12-30,409,131,278
2022-12-31,323,64,259
2023-01-01,304,63,241
2023-01-02,301,66,235
2023-01-03,365,97,268
2023-01-04,385,121,264
2023-01-05,354,80,274
2023-01-06,371,97,274
2023-01-07,354,85,269
2023-01-08,360,78,282
2023-01-09,360,91,269
2023-01-10,348,87,261
2023-01-11,361,99,262
2023-01-12,434,97,337
2023-01-13,852,87,765
2023-01-14,545,72,473
2023-01-15,387,93,294
2023-01-16,400,116,284
2023-01-17,386,99,287
2023-01-18,401,87,314
2023-01-19,389,82,307
2023-01-20,352,68,284
2023-01-21,407,70,337
2023-01-22,362,61,301
2023-01-23,370,68,302
2023-01-24,318,59,259
2023-01-25,321,64,257
2023-01-26,361,63,298
2023-01-27,305,59,246
2023-01-28,317,82,235
2023-01-29,413,89,324
2023-01-30,393,101,292
2023-01-31,450,120,330
2023-02-01,360,104,256
2023-02-02,342,89,253
2023-02-03,383,121,262
2023-02-04,372,74,298
2023-02-05,318,70,248
2023-02-06,382,108,274
2023-02-07,416,110,306
2023-02-08,404,102,302
2023-02-09,396,104,292
2023-02-10,348,87,261
2023-02-11,670,93,577
2023-02-12,450,66,384
2023-02-13,338,83,255
2023-02-14,395,121,274
2023-02-15,349,99,250
2023-02-16,360,91,269
2023-02-17,382,120,262
2023-02-18,337,78,259
2023-02-19,335,66,269
2023-02-20,350,112,238
2023-02-21,366,106,260
2023-02-22,299,87,212
2023-02-23,371,125,246
2023-02-24,380,106,274
2023-02-25,327,72,255
2023-02-26,346,80,266
2023-02-27,330,99,231
2023-02-28,351,120,231
2023-03-01,351,108,243
2023-03-02,358,95,263
2023-03-03,342,101,241
2023-03-04,340,76,264
2023-03-05,379,83,296
2023-03-06,371,112,259
2023-03-07,385,104,281
2023-03-08,330,80,250
2023-03-09,336,101,235
2023-03-10,333,97,236
2023-03-11,317,70,247
2023-03-12,372,63,309
2023-03-13,344,97,247
2023-03-14,326,104,222
2023-03-15,401,93,308
2023-03-16,395,110,285
2023-03-17,405,99,306
2023-03-18,432,70,362
2023-03-19,1035,137,898
2023-03-20,1101,194,907
2023-03-21,1110,225,885
2023-03-22,1054,183,871
2023-03-23,833,157,676
2023-03-24,665,152,513
2023-03-25,500,85,415
2023-03-26,582,85,497
2023-03-27,513,112,401
2023-03-28,472,112,360
2023-03-29,449,104,345
2023-03-30,430,97,333
2023-03-31,441,97,344
2023-04-01,469,85,384
2023-04-02,424,70,354
2023-04-03,588,158,430
2023-04-04,852,197,655
2023-04-05,612,93,519
2023-04-06,472,102,370
2023-04-07,525,135,390
2023-04-08,395,83,312
2023-04-09,337,80,257
2023-04-10,353,101,252
2023-04-11,375,102,273
2023-04-12,385,116,269
2023-04-13,437,125,312
2023-04-14,441,85,356
2023-04-15,348,74,274
2023-04-16,339,78,261
2023-04-17,406,99,307
2023-04-18,372,108,264
2023-04-19,336,89,247
2023-04-20,366,95,271
2023-04-21,515,99,416
2023-04-22,458,82,376
