Time,all,pc,wise
2022-10-01,2270,265,2005
2022-10-02,2641,399,2242
2022-10-03,2234,267,1967
2022-10-04,1622,236,1386
2022-10-05,1259,223,1036
2022-10-06,1134,209,925
2022-10-07,1227,234,993
2022-10-08,1155,290,865
2022-10-09,1686,414,1272
2022-10-10,1774,381,1393
2022-10-11,1240,295,945
2022-10-12,1103,225,878
2022-10-13,977,177,800
2022-10-14,1020,175,845
2022-10-15,1037,148,889
2022-10-16,1034,158,876
2022-10-17,1058,190,868
2022-10-18,1053,190,863
2022-10-19,1017,176,841
2022-10-20,966,186,780
2022-10-21,994,179,815
2022-10-22,977,161,816
2022-10-23,988,131,857
2022-10-24,1054,209,845
2022-10-25,985,159,826
2022-10-26,1027,170,857
2022-10-27,791,150,641
2022-10-28,1011,155,856
2022-10-29,987,142,845
2022-10-30,936,76,860
2022-10-31,1035,191,844
2022-11-01,914,184,730
2022-11-02,905,155,750
2022-11-03,813,157,656
2022-11-04,1083,177,906
2022-11-05,789,116,673
2022-11-06,785,127,658
2022-11-07,741,162,579
2022-11-08,809,165,644
2022-11-09,807,172,635
2022-11-10,715,129,586
2022-11-11,1098,195,903
2022-11-12,967,108,859
2022-11-13,886,137,749
2022-11-14,1003,180,823
2022-11-15,1039,166,873
2022-11-16,1048,187,861
2022-11-17,1034,183,851
2022-11-18,1039,176,863
2022-11-19,975,131,844
2022-11-20,1002,142,860
2022-11-21,1056,191,865
2022-11-22,1029,184,845
2022-11-23,979,168,811
2022-11-24,1058,211,847
2022-11-25,947,146,801
2022-11-26,942,158,784
2022-11-27,920,158,762
2022-11-28,866,154,712
2022-11-29,902,157,745
2022-11-30,1052,155,897
2022-12-01,1216,159,1057
2022-12-02,1127,158,969
2022-12-03,1233,250,983
2022-12-04,1026,148,878
2022-12-05,1181,186,995
2022-12-06,2003,262,1741
2022-12-07,1078,179,899
2022-12-08,974,165,809
2022-12-09,817,144,673
2022-12-10,823,135,688
2022-12-11,948,106,842
2022-12-12,900,131,769
2022-12-13,863,146,717
2022-12-14,942,148,794
2022-12-15,741,127,614
2022-12-16,726,131,595
2022-12-17,887,133,754
2022-12-18,866,139,727
2022-12-19,823,139,684
2022-12-20,825,135,690
2022-12-21,838,161,677
2022-12-22,884,186,698
2022-12-23,1037,151,886
2022-12-24,976,112,864
2022-12-25,1092,163,929
2022-12-26,1086,195,891
2022-12-27,1100,198,902
2022-12-28,1061,176,885
2022-12-29,1042,184,858
2022-12-30,1029,182,847
2022-12-31,944,118,826
2023-01-01,858,110,748
2023-01-02,887,140,747
2023-01-03,803,155,648
2023-01-04,923,175,748
2023-01-05,874,186,688
2023-01-06,831,168,663
2023-01-07,988,140,848
2023-01-08,899,137,762
2023-01-09,934,204,730
2023-01-10,830,157,673
2023-01-11,798,166,632
2023-01-12,630,155,475
2023-01-13,829,158,671
2023-01-14,869,110,759
2023-01-15,702,104,598
2023-01-16,868,144,724
2023-01-17,1003,180,823
2023-01-18,964,150,814
2023-01-19,835,161,674
2023-01-20,729,102,627
2023-01-21,843,80,763
2023-01-22,1255,259,996
2023-01-23,1082,204,878
2023-01-24,827,133,694
2023-01-25,892,180,712
2023-01-26,1002,170,832
2023-01-27,709,114,595
2023-01-28,825,208,617
2023-01-29,646,121,525
2023-01-30,644,165,479
2023-01-31,584,129,455
2023-02-01,618,146,472
2023-02-02,574,159,415
2023-02-03,625,118,507
2023-02-04,562,93,469
2023-02-05,797,110,687
2023-02-06,657,133,524
2023-02-07,633,150,483
2023-02-08,694,161,533
2023-02-09,686,146,540
2023-02-10,592,135,457
2023-02-11,622,104,518
2023-02-12,708,106,602
2023-02-13,907,162,745
2023-02-14,665,155,510
2023-02-15,610,144,466
2023-02-16,605,118,487
2023-02-17,619,144,475
2023-02-18,651,102,549
2023-02-19,646,104,542
2023-02-20,600,120,480
2023-02-21,570,133,437
2023-02-22,571,144,427
2023-02-23,657,159,498
2023-02-24,658,158,500
2023-02-25,663,112,551
2023-02-26,796,106,690
2023-02-27,699,159,540
2023-02-28,665,129,536
2023-03-01,1133,278,855
2023-03-02,917,198,719
2023-03-03,824,172,652
2023-03-04,841,101,740
2023-03-05,760,121,639
2023-03-06,656,118,538
2023-03-07,703,150,553
2023-03-08,692,133,559
2023-03-09,726,144,582
2023-03-10,707,133,574
2023-03-11,781,121,660
2023-03-12,881,102,779
2023-03-13,677,133,544
2023-03-14,783,184,599
2023-03-15,805,213,592
2023-03-16,837,228,609
2023-03-17,981,222,759
2023-03-18,1013,163,850
2023-03-19,1033,112,921
2023-03-20,1017,182,835
2023-03-21,945,205,740
2023-03-22,1309,369,940
2023-03-23,1147,267,880
2023-03-24,1882,918,964
2023-03-25,1182,239,943
2023-03-26,1061,162,899
2023-03-27,1068,201,867
2023-03-28,1027,208,819
2023-03-29,934,229,705
2023-03-30,899,187,712
2023-03-31,1044,276,768
2023-04-01,876,146,730
2023-04-02,818,112,706
2023-04-03,895,186,709
2023-04-04,822,183,639
2023-04-05,887,135,752
2023-04-06,1146,247,899
2023-04-07,964,159,805
2023-04-08,833,137,696
2023-04-09,3095,355,2740
2023-04-10,3387,777,2610
2023-04-11,1853,430,1423
2023-04-12,1213,260,953
2023-04-13,1086,201,885
2023-04-14,1026,180,846
2023-04-15,1015,163,852
2023-04-16,876,120,756
2023-04-17,1381,501,880
2023-04-18,1177,327,850
2023-04-19,920,211,709
2023-04-20,983,187,796
2023-04-21,900,159,741
2023-04-22,942,148,794
