Time,all,pc,wise
2022-10-01,942,101,841
2022-10-02,908,118,790
2022-10-03,960,99,861
2022-10-04,884,114,770
2022-10-05,842,99,743
2022-10-06,963,110,853
2022-10-07,984,139,845
2022-10-08,877,133,744
2022-10-09,891,155,736
2022-10-10,879,123,756
2022-10-11,1012,139,873
2022-10-12,919,151,768
2022-10-13,976,148,828
2022-10-14,983,133,850
2022-10-15,966,95,871
2022-10-16,975,127,848
2022-10-17,919,131,788
2022-10-18,816,120,696
2022-10-19,862,135,727
2022-10-20,791,110,681
2022-10-21,950,139,811
2022-10-22,968,125,843
2022-10-23,1007,127,880
2022-10-24,869,157,712
2022-10-25,926,157,769
2022-10-26,907,152,755
2022-10-27,902,129,773
2022-10-28,827,133,694
2022-10-29,836,127,709
2022-10-30,865,72,793
2022-10-31,765,110,655
2022-11-01,693,108,585
2022-11-02,766,135,631
2022-11-03,710,80,630
2022-11-04,753,123,630
2022-11-05,814,97,717
2022-11-06,839,95,744
2022-11-07,795,108,687
2022-11-08,780,106,674
2022-11-09,807,120,687
2022-11-10,749,101,648
2022-11-11,854,104,750
2022-11-12,874,106,768
2022-11-13,959,108,851
2022-11-14,796,125,671
2022-11-15,723,110,613
2022-11-16,935,140,795
2022-11-17,1131,186,945
2022-11-18,1073,154,919
2022-11-19,1549,159,1390
2022-11-20,1499,131,1368
2022-11-21,1580,233,1347
2022-11-22,1552,243,1309
2022-11-23,1337,228,1109
2022-11-24,2262,254,2008
2022-11-25,2249,278,1971
2022-11-26,2221,195,2026
2022-11-27,5467,285,5182
2022-11-28,7771,616,7155
2022-11-29,7656,1263,6393
2022-11-30,5202,888,4314
2022-12-01,4570,827,3743
2022-12-02,3680,678,3002
2022-12-03,2999,414,2585
2022-12-04,3140,338,2802
2022-12-05,3045,886,2159
2022-12-06,4572,312,4260
2022-12-07,2038,239,1799
2022-12-08,2174,267,1907
2022-12-09,2074,225,1849
2022-12-10,1980,233,1747
2022-12-11,5209,273,4936
2022-12-12,4787,523,4264
2022-12-13,3908,450,3458
2022-12-14,2344,304,2040
2022-12-15,1805,282,1523
2022-12-16,1772,208,1564
2022-12-17,1591,118,1473
2022-12-18,2598,184,2414
2022-12-19,1607,170,1437
2022-12-20,1708,168,1540
2022-12-21,1521,184,1337
2022-12-22,1685,176,1509
2022-12-23,1234,180,1054
2022-12-24,1124,127,997
2022-12-25,2254,176,2078
2022-12-26,1816,204,1612
2022-12-27,1607,212,1395
2022-12-28,1505,216,1289
2022-12-29,2105,443,1662
2022-12-30,1475,213,1262
2022-12-31,1240,125,1115
2023-01-01,2593,166,2427
2023-01-02,2081,198,1883
2023-01-03,1788,281,1507
2023-01-04,1313,157,1156
2023-01-05,1202,162,1040
2023-01-06,1109,161,948
2023-01-07,1063,120,943
2023-01-08,1868,154,1714
2023-01-09,1219,152,1067
2023-01-10,1152,162,990
2023-01-11,1085,142,943
2023-01-12,1099,173,926
2023-01-13,1091,155,936
2023-01-14,1045,118,927
2023-01-15,1145,129,1016
2023-01-16,1145,151,994
2023-01-17,1384,159,1225
2023-01-18,1044,125,919
2023-01-19,979,106,873
2023-01-20,962,97,865
2023-01-21,1002,95,907
2023-01-22,1016,106,910
2023-01-23,984,97,887
2023-01-24,1030,91,939
2023-01-25,960,78,882
2023-01-26,956,95,861
2023-01-27,933,87,846
2023-01-28,956,114,842
2023-01-29,977,129,848
2023-01-30,5048,1396,3652
2023-01-31,5079,1027,4052
2023-02-01,2637,420,2217
2023-02-02,1608,276,1332
2023-02-03,1596,412,1184
2023-02-04,1197,225,972
2023-02-05,1829,168,1661
2023-02-06,1134,166,968
2023-02-07,1506,377,1129
2023-02-08,6273,3312,2961
2023-02-09,2448,557,1891
2023-02-10,1362,243,1119
