Time,all,pc,wise
2022-10-01,1138,169,969
2022-10-02,1581,234,1347
2022-10-03,1535,225,1310
2022-10-04,1446,216,1230
2022-10-05,1619,257,1362
2022-10-06,1580,239,1341
2022-10-07,1756,274,1482
2022-10-08,1293,321,972
2022-10-09,1305,329,976
2022-10-10,1317,347,970
2022-10-11,1295,304,991
2022-10-12,1269,318,951
2022-10-13,1244,290,954
2022-10-14,1330,332,998
2022-10-15,1324,250,1074
2022-10-16,1665,287,1378
2022-10-17,1421,367,1054
2022-10-18,1282,302,980
2022-10-19,1299,285,1014
2022-10-20,1275,316,959
2022-10-21,1235,270,965
2022-10-22,1378,245,1133
2022-10-23,1643,296,1347
2022-10-24,1277,316,961
2022-10-25,1295,336,959
2022-10-26,1294,319,975
2022-10-27,1290,313,977
2022-10-28,1335,287,1048
2022-10-29,1513,222,1291
2022-10-30,1227,118,1109
2022-10-31,1215,282,933
2022-11-01,1212,254,958
2022-11-02,1279,309,970
2022-11-03,1331,313,1018
2022-11-04,1525,412,1113
2022-11-05,2083,284,1799
2022-11-06,2550,319,2231
2022-11-07,1443,332,1111
2022-11-08,1288,309,979
2022-11-09,1256,282,974
2022-11-10,1219,259,960
2022-11-11,1301,324,977
2022-11-12,1418,265,1153
2022-11-13,1708,239,1469
2022-11-14,1399,350,1049
2022-11-15,1243,276,967
2022-11-16,1331,367,964
2022-11-17,1309,299,1010
2022-11-18,1222,256,966
2022-11-19,1193,218,975
2022-11-20,1460,240,1220
2022-11-21,1234,273,961
2022-11-22,1215,281,934
2022-11-23,1182,240,942
2022-11-24,1177,237,940
2022-11-25,1170,229,941
2022-11-26,1198,220,978
2022-11-27,1282,222,1060
2022-11-28,1237,276,961
2022-11-29,1212,276,936
2022-11-30,1222,282,940
2022-12-01,1242,276,966
2022-12-02,1259,260,999
2022-12-03,1241,201,1040
2022-12-04,1542,197,1345
2022-12-05,1331,305,1026
2022-12-06,1321,296,1025
2022-12-07,1237,265,972
2022-12-08,1378,338,1040
2022-12-09,1257,276,981
2022-12-10,1238,193,1045
2022-12-11,1325,218,1107
2022-12-12,1211,245,966
2022-12-13,1214,279,935
2022-12-14,1185,262,923
2022-12-15,1171,242,929
2022-12-16,1171,226,945
2022-12-17,1149,184,965
2022-12-18,1084,152,932
2022-12-19,1127,209,918
2022-12-20,1118,212,906
2022-12-21,1227,310,917
2022-12-22,1200,229,971
2022-12-23,1232,247,985
2022-12-24,1114,190,924
2022-12-25,1174,207,967
2022-12-26,1720,332,1388
2022-12-27,1805,406,1399
2022-12-28,1814,473,1341
2022-12-29,2142,430,1712
2022-12-30,3159,561,2598
2022-12-31,2433,313,2120
2023-01-01,1868,226,1642
2023-01-02,1733,209,1524
2023-01-03,1852,433,1419
2023-01-04,1843,340,1503
2023-01-05,2269,440,1829
2023-01-06,2296,461,1835
2023-01-07,2987,284,2703
2023-01-08,2787,229,2558
2023-01-09,2379,428,1951
2023-01-10,2298,354,1944
2023-01-11,1972,340,1632
2023-01-12,1732,363,1369
2023-01-13,1592,425,1167
2023-01-14,1668,367,1301
2023-01-15,1434,229,1205
2023-01-16,1486,321,1165
2023-01-17,1331,270,1061
2023-01-18,1194,200,994
2023-01-19,1212,223,989
2023-01-20,1229,211,1018
2023-01-21,1254,133,1121
2023-01-22,1085,137,948
2023-01-23,1147,165,982
2023-01-24,1118,155,963
2023-01-25,1230,146,1084
2023-01-26,1397,180,1217
2023-01-27,2246,256,1990
2023-01-28,1913,350,1563
2023-01-29,5229,902,4327
2023-01-30,3730,857,2873
2023-01-31,2062,416,1646
2023-02-01,1774,307,1467
2023-02-02,6553,849,5704
2023-02-03,2985,347,2638
2023-02-04,2082,240,1842
2023-02-05,2143,234,1909
