Time,all,pc,wise
2022-10-01,881,108,773
2022-10-02,905,125,780
2022-10-03,750,112,638
2022-10-04,7189,983,6206
2022-10-05,3343,355,2988
2022-10-06,1486,195,1291
2022-10-07,1126,166,960
2022-10-08,1103,207,896
2022-10-09,1115,226,889
2022-10-10,1075,195,880
2022-10-11,1340,271,1069
2022-10-12,1033,190,843
2022-10-13,952,194,758
2022-10-14,942,169,773
2022-10-15,1010,127,883
2022-10-16,979,135,844
2022-10-17,972,169,803
2022-10-18,855,168,687
2022-10-19,865,170,695
2022-10-20,894,182,712
2022-10-21,878,176,702
2022-10-22,1171,184,987
2022-10-23,1138,169,969
2022-10-24,1170,237,933
2022-10-25,1070,220,850
2022-10-26,935,173,762
2022-10-27,944,165,779
2022-10-28,901,170,731
2022-10-29,972,131,841
2022-10-30,841,68,773
2022-10-31,939,177,762
2022-11-01,922,166,756
2022-11-02,800,150,650
2022-11-03,856,158,698
2022-11-04,796,151,645
2022-11-05,773,118,655
2022-11-06,800,104,696
2022-11-07,683,151,532
2022-11-08,665,140,525
2022-11-09,1016,165,851
2022-11-10,1018,172,846
2022-11-11,886,146,740
2022-11-12,854,99,755
2022-11-13,770,110,660
2022-11-14,703,135,568
2022-11-15,746,150,596
2022-11-16,762,165,597
2022-11-17,803,168,635
2022-11-18,796,148,648
2022-11-19,884,125,759
2022-11-20,980,133,847
2022-11-21,825,140,685
2022-11-22,796,157,639
2022-11-23,795,158,637
2022-11-24,790,142,648
2022-11-25,820,121,699
2022-11-26,717,97,620
2022-11-27,659,116,543
2022-11-28,647,135,512
2022-11-29,689,140,549
2022-11-30,848,121,727
2022-12-01,629,137,492
2022-12-02,572,135,437
2022-12-03,635,116,519
2022-12-04,540,104,436
2022-12-05,602,133,469
2022-12-06,624,146,478
2022-12-07,561,148,413
2022-12-08,554,129,425
2022-12-09,1120,254,866
2022-12-10,829,112,717
2022-12-11,709,110,599
2022-12-12,572,131,441
2022-12-13,567,159,408
2022-12-14,530,118,412
2022-12-15,566,108,458
2022-12-16,523,110,413
2022-12-17,510,102,408
2022-12-18,581,87,494
2022-12-19,573,120,453
2022-12-20,579,110,469
2022-12-21,560,131,429
2022-12-22,515,120,395
2022-12-23,549,95,454
2022-12-24,461,82,379
2022-12-25,448,87,361
2022-12-26,501,102,399
2022-12-27,510,101,409
2022-12-28,518,123,395
2022-12-29,577,129,448
2022-12-30,527,127,400
2022-12-31,413,82,331
2023-01-01,629,108,521
2023-01-02,635,106,529
2023-01-03,605,144,461
2023-01-04,600,127,473
2023-01-05,493,123,370
2023-01-06,522,120,402
2023-01-07,530,93,437
2023-01-08,636,101,535
2023-01-09,678,135,543
2023-01-10,679,135,544
2023-01-11,609,154,455
2023-01-12,546,131,415
2023-01-13,512,110,402
2023-01-14,492,93,399
2023-01-15,604,101,503
2023-01-16,561,118,443
2023-01-17,539,123,416
2023-01-18,761,102,659
2023-01-19,574,91,483
2023-01-20,526,101,425
2023-01-21,490,85,405
2023-01-22,469,76,393
2023-01-23,485,76,409
2023-01-24,507,74,433
2023-01-25,494,74,420
2023-01-26,452,78,374
2023-01-27,505,85,420
2023-01-28,596,148,448
2023-01-29,482,110,372
2023-01-30,562,125,437
2023-01-31,540,125,415
2023-02-01,519,129,390
2023-02-02,577,137,440
2023-02-03,536,127,409
2023-02-04,533,82,451
2023-02-05,492,76,416
2023-02-06,471,129,342
2023-02-07,475,95,380
2023-02-08,544,131,413
2023-02-09,514,101,413
2023-02-10,498,137,361
2023-02-11,446,99,347
2023-02-12,563,104,459
2023-02-13,507,110,397
2023-02-14,464,129,335
2023-02-15,461,116,345
2023-02-16,482,137,345
2023-02-17,487,89,398
2023-02-18,589,99,490
2023-02-19,544,82,462
2023-02-20,463,112,351
2023-02-21,529,123,406
2023-02-22,461,116,345
2023-02-23,528,129,399
2023-02-24,480,114,366
2023-02-25,504,93,411
2023-02-26,502,101,401
2023-02-27,514,116,398
2023-02-28,609,137,472
2023-03-01,600,120,480
2023-03-02,564,151,413
2023-03-03,546,127,419
2023-03-04,552,95,457
2023-03-05,512,99,413
2023-03-06,513,123,390
2023-03-07,548,142,406
2023-03-08,545,125,420
2023-03-09,535,123,412
2023-03-10,605,140,465
2023-03-11,715,95,620
2023-03-12,1185,195,990
2023-03-13,1212,324,888
2023-03-14,796,157,639
2023-03-15,692,161,531
2023-03-16,689,142,547
2023-03-17,827,165,662
2023-03-18,854,118,736
2023-03-19,1026,154,872
2023-03-20,1058,211,847
2023-03-21,754,127,627
2023-03-22,733,135,598
2023-03-23,798,155,643
2023-03-24,854,188,666
2023-03-25,646,97,549
2023-03-26,734,127,607
2023-03-27,658,162,496
2023-03-28,630,165,465
2023-03-29,600,125,475
2023-03-30,604,154,450
2023-03-31,674,146,528
2023-04-01,885,112,773
2023-04-02,786,131,655
2023-04-03,863,205,658
2023-04-04,832,190,642
2023-04-05,804,123,681
2023-04-06,715,150,565
2023-04-07,726,154,572
2023-04-08,670,118,552
2023-04-09,732,104,628
2023-04-10,689,154,535
2023-04-11,687,151,536
2023-04-12,701,144,557
2023-04-13,744,148,596
2023-04-14,745,163,582
2023-04-15,970,118,852
2023-04-16,949,131,818
2023-04-17,786,173,613
2023-04-18,828,168,660
2023-04-19,750,148,602
2023-04-20,721,144,577
2023-04-21,784,177,607
2023-04-22,725,93,632
