Time,all,pc,wise
2022-10-01,2609,324,2285
2022-10-02,1920,259,1661
2022-10-03,2176,243,1933
2022-10-04,1857,247,1610
2022-10-05,1564,218,1346
2022-10-06,1848,233,1615
2022-10-07,2142,318,1824
2022-10-08,1861,375,1486
2022-10-09,1431,326,1105
2022-10-10,3280,459,2821
2022-10-11,2614,535,2079
2022-10-12,1715,394,1321
2022-10-13,1658,354,1304
2022-10-14,4135,470,3665
2022-10-15,2774,316,2458
2022-10-16,2705,335,2370
2022-10-17,2209,481,1728
2022-10-18,9036,1062,7974
2022-10-19,7583,1344,6239
2022-10-20,3873,814,3059
2022-10-21,2839,535,2304
2022-10-22,2429,319,2110
2022-10-23,1982,282,1700
2022-10-24,1908,395,1513
2022-10-25,2170,450,1720
2022-10-26,1693,326,1367
2022-10-27,1906,408,1498
2022-10-28,1570,326,1244
2022-10-29,1841,298,1543
2022-10-30,2002,159,1843
2022-10-31,1603,344,1259
2022-11-01,1369,307,1062
2022-11-02,1381,299,1082
2022-11-03,1271,274,997
2022-11-04,1399,341,1058
2022-11-05,1218,222,996
2022-11-06,1279,202,1077
2022-11-07,1319,299,1020
2022-11-08,1327,335,992
2022-11-09,1203,226,977
2022-11-10,1209,254,955
2022-11-11,2177,360,1817
2022-11-12,2056,323,1733
2022-11-13,1779,282,1497
2022-11-14,3239,530,2709
2022-11-15,2865,487,2378
2022-11-16,1838,343,1495
2022-11-17,1687,318,1369
2022-11-18,1711,319,1392
2022-11-19,1590,204,1386
2022-11-20,1418,209,1209
2022-11-21,1364,324,1040
2022-11-22,1250,242,1008
2022-11-23,1262,285,977
2022-11-24,1302,267,1035
2022-11-25,1352,262,1090
2022-11-26,1201,179,1022
2022-11-27,1210,183,1027
2022-11-28,1318,262,1056
2022-11-29,1834,318,1516
2022-11-30,1315,273,1042
2022-12-01,1547,403,1144
2022-12-02,1699,310,1389
2022-12-03,2209,318,1891
2022-12-04,1426,204,1222
2022-12-05,1245,260,985
2022-12-06,1279,296,983
2022-12-07,2301,482,1819
2022-12-08,1366,276,1090
2022-12-09,2034,394,1640
2022-12-10,1270,201,1069
2022-12-11,1278,205,1073
2022-12-12,1758,391,1367
2022-12-13,1240,276,964
2022-12-14,2317,271,2046
2022-12-15,1432,291,1141
2022-12-16,1216,228,988
2022-12-17,2177,326,1851
2022-12-18,1472,208,1264
2022-12-19,1507,309,1198
2022-12-20,1280,254,1026
2022-12-21,1651,326,1325
2022-12-22,1384,262,1122
2022-12-23,1919,310,1609
2022-12-24,1435,233,1202
2022-12-25,3050,274,2776
2022-12-26,1725,288,1437
2022-12-27,3342,1297,2045
2022-12-28,2431,741,1690
2022-12-29,1536,333,1203
2022-12-30,1537,304,1233
2022-12-31,4465,563,3902
2023-01-01,2328,259,2069
2023-01-02,2207,296,1911
2023-01-03,1675,354,1321
2023-01-04,2115,310,1805
2023-01-05,1864,361,1503
2023-01-06,2216,417,1799
2023-01-07,1706,213,1493
2023-01-08,4066,347,3719
2023-01-09,3305,577,2728
2023-01-10,3321,448,2873
2023-01-11,1888,327,1561
2023-01-12,2200,321,1879
2023-01-13,1737,307,1430
2023-01-14,2597,321,2276
2023-01-15,1615,209,1406
2023-01-16,1760,264,1496
2023-01-17,1700,274,1426
2023-01-18,2697,291,2406
2023-01-19,1998,309,1689
2023-01-20,1506,208,1298
2023-01-21,1220,151,1069
2023-01-22,1161,176,985
2023-01-23,1171,162,1009
2023-01-24,1097,116,981
2023-01-25,1065,116,949
2023-01-26,1087,161,926
2023-01-27,1130,155,975
2023-01-28,1098,183,915
2023-01-29,1135,211,924
2023-01-30,1106,218,888
2023-01-31,1139,234,905
2023-02-01,1181,243,938
2023-02-02,1196,267,929
2023-02-03,1174,257,917
2023-02-04,1095,177,918
2023-02-05,1090,154,936
2023-02-06,1082,198,884
2023-02-07,1122,223,899
2023-02-08,1152,264,888
2023-02-09,1136,229,907
2023-02-10,1141,242,899
2023-02-11,1118,180,938
2023-02-12,1087,165,922
2023-02-13,1146,254,892
2023-02-14,1245,313,932
2023-02-15,1170,270,900
2023-02-16,1168,273,895
2023-02-17,1224,273,951
2023-02-18,1140,173,967
2023-02-19,1183,195,988
2023-02-20,1184,264,920
2023-02-21,1161,254,907
2023-02-22,1190,268,922
2023-02-23,2571,453,2118
2023-02-24,1791,360,1431
2023-02-25,1307,207,1100
2023-02-26,2555,326,2229
2023-02-27,1666,431,1235
2023-02-28,1440,295,1145
2023-03-01,2979,613,2366
2023-03-02,2025,478,1547
2023-03-03,1885,357,1528
2023-03-04,1651,239,1412
2023-03-05,1370,215,1155
2023-03-06,1342,336,1006
2023-03-07,1252,282,970
2023-03-08,2092,369,1723
2023-03-09,1579,333,1246
2023-03-10,2394,403,1991
2023-03-11,2294,279,2015
2023-03-12,1736,242,1494
2023-03-13,1394,336,1058
2023-03-14,1366,366,1000
2023-03-15,2244,402,1842
2023-03-16,1976,414,1562
2023-03-17,1918,375,1543
2023-03-18,2566,580,1986
2023-03-19,2667,305,2362
2023-03-20,2063,408,1655
2023-03-21,2579,445,2134
2023-03-22,1951,431,1520
2023-03-23,1750,402,1348
2023-03-24,2078,412,1666
2023-03-25,2885,309,2576
2023-03-26,4990,478,4512
2023-03-27,3255,636,2619
2023-03-28,2496,484,2012
2023-03-29,1909,416,1493
2023-03-30,2365,434,1931
2023-03-31,2542,430,2112
2023-04-01,1705,226,1479
2023-04-02,1480,233,1247
2023-04-03,1839,419,1420
2023-04-04,1536,344,1192
2023-04-05,1732,211,1521
2023-04-06,1654,428,1226
2023-04-07,1415,315,1100
2023-04-08,1378,212,1166
