index,meiko
2023-01-23,14254
2023-01-24,4598
2023-01-25,9323
2023-01-26,33436
2023-01-27,28478
2023-01-28,43076
2023-01-29,20392
2023-01-30,238012
2023-01-31,46972
2023-02-01,61025
2023-02-02,11545
2023-02-03,23720
2023-02-04,25238
2023-02-05,164097
2023-02-06,56832
2023-02-07,21391
2023-02-08,28660
2023-02-09,41225
2023-02-10,21246
2023-02-11,8878
2023-02-12,63138
2023-02-13,13503
2023-02-14,13151
2023-02-15,50752
2023-02-16,31583
2023-02-17,22792
2023-02-18,17535
2023-02-19,27166
2023-02-20,7049
2023-02-21,7246
2023-02-22,33019
2023-02-23,17159
2023-02-24,18925
2023-02-25,126212
2023-02-26,26541
2023-02-27,52461
2023-02-28,19933
2023-03-01,9597
2023-03-02,6973
2023-03-03,6911
2023-03-04,103681
2023-03-05,55457
2023-03-06,32636
2023-03-07,63878
2023-03-08,43234
2023-03-09,45770
2023-03-10,71432
2023-03-11,36779
2023-03-12,70697
2023-03-13,34167
2023-03-14,49849
2023-03-15,38263
2023-03-16,79007
2023-03-17,42282
2023-03-18,52154
2023-03-19,78481
2023-03-20,43025
2023-03-21,23863
2023-03-22,44827
2023-03-23,62252
2023-03-24,67469
2023-03-25,277351
2023-03-26,63686
2023-03-27,20933
2023-03-28,47074
2023-03-29,72197
2023-03-30,20405
2023-03-31,46919
2023-04-01,79276
2023-04-02,30802
2023-04-03,23669
2023-04-04,29242
2023-04-05,4724
2023-04-06,46438
2023-04-07,43615
2023-04-08,19272
2023-04-09,30224
2023-04-10,10110
2023-04-11,31095
2023-04-12,61936
2023-04-13,32253
2023-04-14,63454
2023-04-15,208560
2023-04-16,17283
2023-04-17,35337
2023-04-18,87615
2023-04-19,21082
2023-04-20,28986
2023-04-21,11620
2023-04-22,11013
2023-04-23,4512
