index,uzi
2023-01-23,36706
2023-01-24,11888
2023-01-25,14320
2023-01-26,12884
2023-01-27,13029
2023-01-28,63619
2023-01-29,48307
2023-01-30,10787
2023-01-31,11775
2023-02-01,34636
2023-02-02,78423
2023-02-03,85676
2023-02-04,52240
2023-02-05,90740
2023-02-06,63876
2023-02-07,60543
2023-02-08,50802
2023-02-09,43605
2023-02-10,45381
2023-02-11,43718
2023-02-12,21638
2023-02-13,40529
2023-02-14,31594
2023-02-15,50304
2023-02-16,30368
2023-02-17,34370
2023-02-18,26327
2023-02-19,32209
2023-02-20,48692
2023-02-21,63891
2023-02-22,34101
2023-02-23,28562
2023-02-24,23787
2023-02-25,24452
2023-02-26,23142
2023-02-27,14537
2023-02-28,25392
2023-03-01,99495
2023-03-02,58143
2023-03-03,58024
2023-03-04,25883
2023-03-05,16341
2023-03-06,48738
2023-03-07,38246
2023-03-08,22873
2023-03-09,24311
2023-03-10,138603
2023-03-11,82914
2023-03-12,51682
2023-03-13,29894
2023-03-14,20811
2023-03-15,22218
2023-03-16,45017
2023-03-17,38999
2023-03-18,30645
2023-03-19,25997
2023-03-20,93755
2023-03-21,20699
2023-03-22,16449
2023-03-23,75101
2023-03-24,32774
2023-03-25,58780
2023-03-26,16380
2023-03-27,48846
2023-03-28,17743
2023-03-29,70912
2023-03-30,37292
2023-03-31,29570
2023-04-01,29113
2023-04-02,48892
2023-04-03,31988
2023-04-04,15439
2023-04-05,28157
2023-04-06,72976
2023-04-07,17431
2023-04-08,24628
2023-04-09,96110
2023-04-10,71293
2023-04-11,111466
2023-04-12,46570
2023-04-13,22599
2023-04-14,521078
2023-04-15,136802
2023-04-16,48513
2023-04-17,51685
2023-04-18,46329
2023-04-19,115184
2023-04-20,14455
2023-04-21,29299
2023-04-22,81523
2023-04-23,92953
