index,刘翔
2023-01-23,1541
2023-01-24,694
2023-01-25,600
2023-01-26,465
2023-01-27,15175
2023-01-28,951
2023-01-29,804
2023-01-30,414
2023-01-31,508
2023-02-01,785
2023-02-02,1637
2023-02-03,2058
2023-02-04,562
2023-02-05,7082
2023-02-06,1640950
2023-02-07,272920
2023-02-08,207504
2023-02-09,172533
2023-02-10,164974
2023-02-11,166520
2023-02-12,135627
2023-02-13,119715
2023-02-14,23721
2023-02-15,4198
2023-02-16,7970
2023-02-17,7705
2023-02-18,5662
2023-02-19,5909
2023-02-20,3973
2023-02-21,11780
2023-02-22,3193
2023-02-23,2168
2023-02-24,3627
2023-02-25,2498
2023-02-26,2212
2023-02-27,1976
2023-02-28,1884
2023-03-01,1751
2023-03-02,1429
2023-03-03,1567
2023-03-04,1472
2023-03-05,14432
2023-03-06,1916
2023-03-07,1219
2023-03-08,1503
2023-03-09,1358
2023-03-10,1791
2023-03-11,990
2023-03-12,2281
2023-03-13,1457
2023-03-14,6872
2023-03-15,1879
2023-03-16,1355
2023-03-17,7582
2023-03-18,1784
2023-03-19,1536
2023-03-20,1597
2023-03-21,9937
2023-03-22,4218
2023-03-23,1616
2023-03-24,1636
2023-03-25,648
2023-03-26,898
2023-03-27,737
2023-03-28,6660
2023-03-29,17930
2023-03-30,628
2023-03-31,574
2023-04-01,2986
2023-04-02,6765
2023-04-03,54044
2023-04-04,5584
2023-04-05,834
2023-04-06,14480
2023-04-07,3192
2023-04-08,6223
2023-04-09,14154
2023-04-10,2216
2023-04-11,3137
2023-04-12,2447
2023-04-13,1457
2023-04-14,2189
2023-04-15,865
2023-04-16,1234
2023-04-17,1009
2023-04-18,2440
2023-04-19,1985
2023-04-20,820
2023-04-21,1818
2023-04-22,34410
2023-04-23,8377
