index,周冠宇
2023-01-23,491
2023-01-24,3201
2023-01-25,328
2023-01-26,2573
2023-01-27,618
2023-01-28,755
2023-01-29,768
2023-01-30,297
2023-01-31,109
2023-02-01,1393
2023-02-02,1739
2023-02-03,2624
2023-02-04,1544
2023-02-05,944
2023-02-06,436
2023-02-07,21868
2023-02-08,11997
2023-02-09,3486
2023-02-10,2341
2023-02-11,3114
2023-02-12,1834
2023-02-13,2463
2023-02-14,4780
2023-02-15,2654
2023-02-16,1030
2023-02-17,781
2023-02-18,205
2023-02-19,708
2023-02-20,1497
2023-02-21,880
2023-02-22,784
2023-02-23,7803
2023-02-24,9355
2023-02-25,17488
2023-02-26,2802
2023-02-27,4003
2023-02-28,2450
2023-03-01,12472
2023-03-02,27578
2023-03-03,23662
2023-03-04,14908
2023-03-05,15817
2023-03-06,19164
2023-03-07,2350
2023-03-08,550
2023-03-09,1357
2023-03-10,1504
2023-03-11,727
2023-03-12,671
2023-03-13,1204
2023-03-14,478
2023-03-15,1540
2023-03-16,4907
2023-03-17,4618
2023-03-18,3872
2023-03-19,10823
2023-03-20,15861
2023-03-21,7243
2023-03-22,12599
2023-03-23,1488
2023-03-24,1109
2023-03-25,1244
2023-03-26,255
2023-03-27,977
2023-03-28,1145
2023-03-29,2451
2023-03-30,6506
2023-03-31,5061
2023-04-01,10247
2023-04-02,200818
2023-04-03,3217
2023-04-04,1548
2023-04-05,1324
2023-04-06,2406
2023-04-07,1163
2023-04-08,119
2023-04-09,386
2023-04-10,1613
2023-04-11,1739
2023-04-12,629
2023-04-13,1123
2023-04-14,856
2023-04-15,496
2023-04-16,839
2023-04-17,977
2023-04-18,1037
2023-04-19,277
2023-04-20,2284
2023-04-21,1711
2023-04-22,1304
2023-04-23,339
