index,易建联
2023-01-23,11396
2023-01-24,4524
2023-01-25,2187
2023-01-26,1879
2023-01-27,2547
2023-01-28,4218
2023-01-29,1074
2023-01-30,592
2023-01-31,1684
2023-02-01,1056
2023-02-02,1715
2023-02-03,3178
2023-02-04,1735
2023-02-05,2042
2023-02-06,1526
2023-02-07,1253
2023-02-08,3798
2023-02-09,2555
2023-02-10,12689
2023-02-11,2176
2023-02-12,1274
2023-02-13,1473
2023-02-14,1015
2023-02-15,1712
2023-02-16,2807
2023-02-17,8695
2023-02-18,2010
2023-02-19,30917
2023-02-20,48486
2023-02-21,111209
2023-02-22,58897
2023-02-23,17985
2023-02-24,2989
2023-02-25,862
2023-02-26,2951
2023-02-27,1183
2023-02-28,9067
2023-03-01,17214
2023-03-02,5261
2023-03-03,1305
2023-03-04,6150
2023-03-05,1690
2023-03-06,3235
2023-03-07,1775
2023-03-08,1700
2023-03-09,1161
2023-03-10,2723
2023-03-11,11419
2023-03-12,8801
2023-03-13,3525
2023-03-14,5108
2023-03-15,5615
2023-03-16,2931
2023-03-17,15282
2023-03-18,8517
2023-03-19,4616
2023-03-20,66896
2023-03-21,11883
2023-03-22,4335
2023-03-23,4495
2023-03-24,31782
2023-03-25,19907
2023-03-26,17660
2023-03-27,118037
2023-03-28,51080
2023-03-29,9522
2023-03-30,9693
2023-03-31,11363
2023-04-01,1874
2023-04-02,2838
2023-04-03,2710
2023-04-04,1203
2023-04-05,8840
2023-04-06,5013
2023-04-07,2603
2023-04-08,7728
2023-04-09,3749
2023-04-10,2897
2023-04-11,2142
2023-04-12,3183
2023-04-13,438
2023-04-14,1084
2023-04-15,2407
2023-04-16,730
2023-04-17,1838
2023-04-18,12943
2023-04-19,4839
2023-04-20,5786
2023-04-21,69131
2023-04-22,37393
2023-04-23,44880
