index,林丹
2023-01-23,1819
2023-01-24,4814
2023-01-25,409
2023-01-26,7462
2023-01-27,317
2023-01-28,267
2023-01-29,259
2023-01-30,211
2023-01-31,414
2023-02-01,325
2023-02-02,595
2023-02-03,644
2023-02-04,887
2023-02-05,279
2023-02-06,303
2023-02-07,408
2023-02-08,234
2023-02-09,227
2023-02-10,520
2023-02-11,264
2023-02-12,802
2023-02-13,256
2023-02-14,314
2023-02-15,191
2023-02-16,374
2023-02-17,691
2023-02-18,208
2023-02-19,309
2023-02-20,418
2023-02-21,297
2023-02-22,138
2023-02-23,408
2023-02-24,1481
2023-02-25,520
2023-02-26,456
2023-02-27,2201
2023-02-28,325
2023-03-01,227
2023-03-02,770
2023-03-03,1486
2023-03-04,170
2023-03-05,205
2023-03-06,698
2023-03-07,352
2023-03-08,324
2023-03-09,423
2023-03-10,199
2023-03-11,134
2023-03-12,378
2023-03-13,3031
2023-03-14,196
2023-03-15,311
2023-03-16,182
2023-03-17,1060
2023-03-18,1254
2023-03-19,2866
2023-03-20,14559
2023-03-21,1977
2023-03-22,2372
2023-03-23,173
2023-03-24,402
2023-03-25,833
2023-03-26,2008
2023-03-27,575
2023-03-28,123
2023-03-29,1844
2023-03-30,541
2023-03-31,125
2023-04-01,1522
2023-04-02,3053
2023-04-03,4011
2023-04-04,2446
2023-04-05,1004
2023-04-06,1305
2023-04-07,305
2023-04-08,402
2023-04-09,2672
2023-04-10,1129
2023-04-11,669
2023-04-12,689
2023-04-13,166
2023-04-14,388
2023-04-15,1212
2023-04-16,516
2023-04-17,363
2023-04-18,792
2023-04-19,394
2023-04-20,435
2023-04-21,231
2023-04-22,691
2023-04-23,216
