index,柯洁
2023-01-23,111
2023-01-24,124
2023-01-25,110
2023-01-26,63
2023-01-27,163
2023-01-28,586
2023-01-29,121
2023-01-30,141
2023-01-31,131
2023-02-01,139
2023-02-02,917
2023-02-03,622
2023-02-04,1568
2023-02-05,500
2023-02-06,1567
2023-02-07,1672
2023-02-08,682
2023-02-09,2287
2023-02-10,923
2023-02-11,2016
2023-02-12,1769
2023-02-13,769
2023-02-14,1455
2023-02-15,2101
2023-02-16,460
2023-02-17,1009
2023-02-18,1244
2023-02-19,386
2023-02-20,1441
2023-02-21,2789
2023-02-22,443
2023-02-23,463
2023-02-24,801
2023-02-25,312
2023-02-26,389
2023-02-27,166
2023-02-28,1287
2023-03-01,720
2023-03-02,698
2023-03-03,839
2023-03-04,1654
2023-03-05,1375
2023-03-06,669
2023-03-07,586
2023-03-08,775
2023-03-09,1054
2023-03-10,433
2023-03-11,89
2023-03-12,98
2023-03-13,403
2023-03-14,388
2023-03-15,3556
2023-03-16,133
2023-03-17,380
2023-03-18,851
2023-03-19,262
2023-03-20,164
2023-03-21,81
2023-03-22,644
2023-03-23,1445
2023-03-24,1054
2023-03-25,281
2023-03-26,965
2023-03-27,430
2023-03-28,241
2023-03-29,1360
2023-03-30,2153
2023-03-31,2447
2023-04-01,1153
2023-04-02,3211
2023-04-03,4704
2023-04-04,3142
2023-04-05,797
2023-04-06,11488
2023-04-07,1469
2023-04-08,130
2023-04-09,101
2023-04-10,609
2023-04-11,634
2023-04-12,646
2023-04-13,336
2023-04-14,141
2023-04-15,239
2023-04-16,270
2023-04-17,745
2023-04-18,459
2023-04-19,23164
2023-04-20,2536
2023-04-21,790
2023-04-22,1988
2023-04-23,660
