index,樊振东
2023-01-23,34853
2023-01-24,29078
2023-01-25,23092
2023-01-26,32429
2023-01-27,22413
2023-01-28,21925
2023-01-29,25609
2023-01-30,28695
2023-01-31,43818
2023-02-01,32677
2023-02-02,29997
2023-02-03,23642
2023-02-04,39731
2023-02-05,52267
2023-02-06,26935
2023-02-07,124248
2023-02-08,75394
2023-02-09,61726
2023-02-10,95951
2023-02-11,39846
2023-02-12,102985
2023-02-13,29705
2023-02-14,70750
2023-02-15,30008
2023-02-16,61640
2023-02-17,126095
2023-02-18,169448
2023-02-19,172055
2023-02-20,209340
2023-02-21,189614
2023-02-22,87338
2023-02-23,324098
2023-02-24,73174
2023-02-25,32025
2023-02-26,70089
2023-02-27,60105
2023-02-28,68372
2023-03-01,34691
2023-03-02,126602
2023-03-03,26855
2023-03-04,36367
2023-03-05,27278
2023-03-06,65071
2023-03-07,56103
2023-03-08,35498
2023-03-09,79197
2023-03-10,85564
2023-03-11,267429
2023-03-12,49197
2023-03-13,170845
2023-03-14,160007
2023-03-15,334421
2023-03-16,165780
2023-03-17,251485
2023-03-18,681138
2023-03-19,776998
2023-03-20,203181
2023-03-21,109959
2023-03-22,76522
2023-03-23,55720
2023-03-24,67832
2023-03-25,30758
2023-03-26,42975
2023-03-27,24351
2023-03-28,138298
2023-03-29,29101
2023-03-30,81160
2023-03-31,30902
2023-04-01,23469
2023-04-02,18988
2023-04-03,196263
2023-04-04,127743
2023-04-05,26754
2023-04-06,185507
2023-04-07,90065
2023-04-08,80122
2023-04-09,104965
2023-04-10,144007
2023-04-11,89171
2023-04-12,119318
2023-04-13,251918
2023-04-14,228821
2023-04-15,432546
2023-04-16,149671
2023-04-17,52649
2023-04-18,79955
2023-04-19,110141
2023-04-20,93035
2023-04-21,143359
2023-04-22,83503
2023-04-23,239333
