index,田亮
2023-01-23,575
2023-01-24,86
2023-01-25,263
2023-01-26,192
2023-01-27,283
2023-01-28,173
2023-01-29,36171
2023-01-30,628151
2023-01-31,66546
2023-02-01,9555
2023-02-02,4142
2023-02-03,1998
2023-02-04,2921
2023-02-05,54969
2023-02-06,9435
2023-02-07,4092
2023-02-08,154298
2023-02-09,4489
2023-02-10,1574
2023-02-11,6655
2023-02-12,35658
2023-02-13,2852
2023-02-14,16464
2023-02-15,1253
2023-02-16,1856
2023-02-17,769
2023-02-18,2538
2023-02-19,295374
2023-02-20,8989
2023-02-21,2632
2023-02-22,1172
2023-02-23,2610
2023-02-24,602
2023-02-25,154
2023-02-26,25008
2023-02-27,2435
2023-02-28,2619
2023-03-01,1469
2023-03-02,332
2023-03-03,193
2023-03-04,106
2023-03-05,7704
2023-03-06,2317
2023-03-07,1346
2023-03-08,457
2023-03-09,903
2023-03-10,762
2023-03-11,2271
2023-03-12,720
2023-03-13,6065
2023-03-14,726
2023-03-15,661
2023-03-16,12638
2023-03-17,1107
2023-03-18,526
2023-03-19,265
2023-03-20,396
2023-03-21,606
2023-03-22,20131
2023-03-23,2316
2023-03-24,2781
2023-03-25,1019
2023-03-26,105
2023-03-27,167
2023-03-28,477
2023-03-29,58
2023-03-30,345
2023-03-31,58679
2023-04-01,40677
2023-04-02,6952
2023-04-03,2831
2023-04-04,2434
2023-04-05,209
2023-04-06,885
2023-04-07,340
2023-04-08,608
2023-04-09,697
2023-04-10,1070
2023-04-11,547
2023-04-12,699
2023-04-13,1869
2023-04-14,2323
2023-04-15,99891
2023-04-16,13123
2023-04-17,11506
2023-04-18,1414
2023-04-19,699
2023-04-20,591
2023-04-21,518
2023-04-22,930
2023-04-23,474
