index,马龙
2023-01-23,35700
2023-01-24,86080
2023-01-25,30399
2023-01-26,29001
2023-01-27,38322
2023-01-28,33885
2023-01-29,22813
2023-01-30,25484
2023-01-31,83787
2023-02-01,52507
2023-02-02,75664
2023-02-03,35463
2023-02-04,139122
2023-02-05,55154
2023-02-06,295576
2023-02-07,124884
2023-02-08,64205
2023-02-09,83683
2023-02-10,88234
2023-02-11,33353
2023-02-12,68467
2023-02-13,79319
2023-02-14,110341
2023-02-15,74944
2023-02-16,42310
2023-02-17,57158
2023-02-18,260549
2023-02-19,187261
2023-02-20,218743
2023-02-21,195696
2023-02-22,201000
2023-02-23,430848
2023-02-24,106265
2023-02-25,48315
2023-02-26,106155
2023-02-27,49425
2023-02-28,53391
2023-03-01,30389
2023-03-02,35224
2023-03-03,41454
2023-03-04,39379
2023-03-05,31870
2023-03-06,120632
2023-03-07,50358
2023-03-08,68161
2023-03-09,95957
2023-03-10,253433
2023-03-11,36992
2023-03-12,133280
2023-03-13,73308
2023-03-14,139123
2023-03-15,77831
2023-03-16,116768
2023-03-17,198438
2023-03-18,222975
2023-03-19,411760
2023-03-20,76744
2023-03-21,126986
2023-03-22,64961
2023-03-23,37019
2023-03-24,62650
2023-03-25,239283
2023-03-26,65682
2023-03-27,133606
2023-03-28,88949
2023-03-29,46833
2023-03-30,136404
2023-03-31,37674
2023-04-01,69738
2023-04-02,34492
2023-04-03,301664
2023-04-04,120861
2023-04-05,37203
2023-04-06,81832
2023-04-07,60859
2023-04-08,55370
2023-04-09,146512
2023-04-10,117089
2023-04-11,118093
2023-04-12,71768
2023-04-13,100776
2023-04-14,60219
2023-04-15,40664
2023-04-16,87141
2023-04-17,63241
2023-04-18,86648
2023-04-19,112108
2023-04-20,45484
2023-04-21,91607
2023-04-22,193733
2023-04-23,330553
